Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
mixed_CS=T,cyclic,0.950000,30,0.005000,7.923333,0.000000,0.081212,0.438237,0.168971,0.569474,0.480000,0.565000,0.522826
Unlu_CS=T,cyclic,0.950000,30,0.005000,13.506667,0.000000,0.086694,0.319477,0.682800,0.661053,0.220000,0.639000,0.381355
mixed_CS=T,cyclic,0.950000,50,0.005000,6.803333,0.000000,0.054766,0.499421,0.175399,0.506316,0.460000,0.504000,0.482603
Unlu_CS=T,cyclic,0.950000,50,0.005000,9.100000,0.000000,0.057851,0.401019,0.661745,0.613684,0.360000,0.601000,0.470028
mixed_CS=T,cyclic,0.950000,80,0.005000,8.526667,0.000000,0.048981,0.364711,0.168664,0.628421,0.260000,0.610000,0.404215
Unlu_CS=T,cyclic,0.950000,80,0.005000,7.553333,0.000000,0.041680,0.328512,0.680615,0.669474,0.180000,0.645000,0.347139
mixed_CS=T,cyclic,0.950000,30,0.080000,5.333333,0.000000,0.067493,0.471625,0.172626,0.509474,0.440000,0.506000,0.473464
Unlu_CS=T,cyclic,0.950000,30,0.080000,10.960000,0.000000,0.123278,0.454821,0.683261,0.543158,0.420000,0.537000,0.477626
mixed_CS=T,cyclic,0.950000,50,0.080000,5.246667,0.000000,0.066832,0.450826,0.165293,0.554737,0.420000,0.548000,0.482690
Unlu_CS=T,cyclic,0.950000,50,0.080000,27.972509,0.030000,0.060634,0.196887,0.557962,0.831579,0.180000,0.799000,0.386890
mixed_CS=T,cyclic,0.950000,80,0.080000,3.850000,0.000000,0.022507,0.358375,0.163512,0.637895,0.360000,0.624000,0.479210
Unlu_CS=T,cyclic,0.950000,80,0.080000,9.303333,0.000000,0.041377,0.313912,0.634360,0.665263,0.300000,0.647000,0.446743
mixed_CS=T,cyclic,0.950000,30,0.155000,3.250000,0.000000,0.058292,0.541983,0.175963,0.461053,0.620000,0.469000,0.534652
Unlu_CS=T,cyclic,0.950000,30,0.155000,4.723333,0.000000,0.033774,0.400138,0.663113,0.628421,0.320000,0.613000,0.448436
mixed_CS=T,cyclic,0.950000,50,0.155000,9.746667,0.000000,0.036887,0.266419,0.142040,0.731579,0.300000,0.710000,0.468480
Unlu_CS=T,cyclic,0.950000,50,0.155000,6.296667,0.000000,0.075978,0.437493,0.672588,0.546316,0.440000,0.541000,0.490285
mixed_CS=T,cyclic,0.950000,80,0.155000,3.010000,0.000000,0.022590,0.394683,0.158306,0.617895,0.620000,0.618000,0.618946
Unlu_CS=T,cyclic,0.950000,80,0.155000,14.801347,0.010000,0.081019,0.422342,0.663643,0.607368,0.380000,0.596000,0.480416
mixed_CS=T,cyclic,0.950000,30,0.230000,7.303333,0.000000,0.034904,0.308127,0.159252,0.692632,0.360000,0.676000,0.499347
Unlu_CS=T,cyclic,0.950000,30,0.230000,13.116667,0.000000,0.025647,0.226860,0.596033,0.771579,0.220000,0.744000,0.412004
