Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
mixed_CS=T,downshift,0.95,30,0.005,5.666667,0.0,0.059339,0.475647,0.17661,0.493684,0.46,0.492,0.476545
Unlu_CS=T,downshift,0.95,30,0.005,13.936455,0.003333,0.070937,0.309835,0.678789,0.692632,0.32,0.674,0.470789
mixed_CS=T,downshift,0.95,50,0.005,6.983333,0.0,0.05427,0.437273,0.174379,0.571579,0.42,0.564,0.489962
Unlu_CS=T,downshift,0.95,50,0.005,7.306667,0.0,0.099311,0.509256,0.658626,0.503158,0.6,0.508,0.54945
mixed_CS=T,downshift,0.95,80,0.005,14.097315,0.006667,0.090744,0.395758,0.155281,0.587368,0.36,0.576,0.45984
Unlu_CS=T,downshift,0.95,80,0.005,15.578231,0.02,0.129669,0.406777,0.663139,0.584211,0.48,0.579,0.529548
mixed_CS=T,downshift,0.95,30,0.08,5.493333,0.0,0.055317,0.537218,0.162314,0.584211,0.5,0.58,0.540468
Unlu_CS=T,downshift,0.95,30,0.08,7.753333,0.0,0.094518,0.566639,0.643897,0.569474,0.54,0.568,0.554541
mixed_CS=T,downshift,0.95,50,0.08,4.82,0.0,0.088292,0.548127,0.173543,0.517895,0.52,0.518,0.518946
Unlu_CS=T,downshift,0.95,50,0.08,22.573379,0.023333,0.28292,0.508182,0.645365,0.650526,0.44,0.64,0.535006
mixed_CS=T,downshift,0.95,80,0.08,18.550676,0.013333,0.205041,0.583747,0.171005,0.576842,0.48,0.572,0.526198
Unlu_CS=T,downshift,0.95,80,0.08,21.623693,0.043333,0.204821,0.521736,0.592776,0.657895,0.42,0.646,0.525657
mixed_CS=T,downshift,0.95,30,0.155,8.156667,0.0,0.214848,0.68303,0.176449,0.583158,0.56,0.582,0.571462
Unlu_CS=T,downshift,0.95,30,0.155,10.08,0.0,0.149091,0.628623,0.588822,0.643158,0.52,0.637,0.57831
mixed_CS=T,downshift,0.95,50,0.155,10.226667,0.0,0.093581,0.561212,0.143079,0.705263,0.5,0.695,0.593828
Unlu_CS=T,downshift,0.95,50,0.155,21.783784,0.013333,0.209917,0.559146,0.523139,0.774737,0.48,0.76,0.609814
mixed_CS=T,downshift,0.95,80,0.155,23.417508,0.01,0.448017,0.655207,0.145975,0.676842,0.54,0.67,0.604562
Unlu_CS=T,downshift,0.95,80,0.155,31.635417,0.04,0.358402,0.568072,0.467684,0.769474,0.48,0.755,0.60774
mixed_CS=T,downshift,0.95,30,0.23,12.163333,0.0,0.143361,0.657576,0.13362,0.753684,0.6,0.746,0.672466
Unlu_CS=T,downshift,0.95,30,0.23,11.3,0.0,0.125482,0.662452,0.530386,0.745263,0.62,0.739,0.679752
mixed_CS=T,downshift,0.95,50,0.23,18.5,0.0,0.303416,0.657107,0.130705,0.788421,0.58,0.778,0.676228
Unlu_CS=T,downshift,0.95,50,0.23,24.979933,0.003333,0.298044,0.624435,0.421732,0.817895,0.6,0.807,0.700526
mixed_CS=T,downshift,0.95,80,0.23,16.55,0.0,0.179311,0.631873,0.137468,0.753684,0.5,0.741,0.613875
Unlu_CS=T,downshift,0.95,80,0.23,36.914676,0.023333,0.296446,0.575234,0.347455,0.883158,0.4,0.859,0.594359
mixed_CS=T,downshift,0.95,30,0.305,7.636667,0.0,0.336198,0.79416,0.149039,0.665263,0.76,0.67,0.711056
Unlu_CS=T,downshift,0.95,30,0.305,16.296667,0.0,0.253444,0.674628,0.4195,0.811579,0.38,0.79,0.555338
mixed_CS=T,downshift,0.95,50,0.305,11.206667,0.0,0.088871,0.687218,0.110866,0.815789,0.72,0.811,0.7664
Unlu_CS=T,downshift,0.95,50,0.305,25.86,0.0,0.290826,0.627163,0.291161,0.9,0.54,0.882,0.697137
mixed_CS=T,downshift,0.95,80,0.305,15.543333,0.0,0.416832,0.777631,0.120426,0.818947,0.8,0.818,0.809418
Unlu_CS=T,downshift,0.95,80,0.305,38.372881,0.016667,0.311295,0.592865,0.241455,0.926316,0.58,0.909,0.732982
mixed_CS=T,downshift,0.95,30,0.38,6.9,0.0,0.189945,0.793333,0.119705,0.774737,0.64,0.768,0.704153
Unlu_CS=T,downshift,0.95,30,0.38,13.763333,0.0,0.318788,0.759201,0.368748,0.83579,0.5,0.819,0.646448
mixed_CS=T,downshift,0.95,50,0.38,16.77,0.0,0.221625,0.70259,0.077784,0.912632,0.72,0.903,0.810614
Unlu_CS=T,downshift,0.95,50,0.38,23.396667,0.0,0.432975,0.732865,0.256822,0.898947,0.64,0.886,0.758503
