Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
mixed_CS=T,downtrend,0.95,30,0.005,6.253333,0.0,0.032672,0.444738,0.156199,0.652632,0.28,0.634,0.427477
Unlu_CS=T,downtrend,0.95,30,0.005,5.67,0.0,0.064931,0.766033,0.662518,0.566316,0.6,0.568,0.582915
mixed_CS=T,downtrend,0.95,50,0.005,3.316667,0.0,0.042314,0.680303,0.182016,0.516842,0.6,0.521,0.556871
Unlu_CS=T,downtrend,0.95,50,0.005,21.12,0.0,0.265978,0.709504,0.539416,0.726316,0.44,0.712,0.565313
mixed_CS=T,downtrend,0.95,80,0.005,15.39,0.0,0.082645,0.705455,0.163264,0.682105,0.64,0.68,0.660717
Unlu_CS=T,downtrend,0.95,80,0.005,43.696667,0.0,0.222066,0.549063,0.348249,0.871579,0.4,0.848,0.59045
mixed_CS=T,downtrend,0.95,30,0.08,9.57,0.0,0.419917,0.905207,0.060663,0.935789,0.62,0.92,0.761702
Unlu_CS=T,downtrend,0.95,30,0.08,19.323333,0.0,0.811019,0.847769,0.197731,1.0,0.48,0.974,0.69282
mixed_CS=T,downtrend,0.95,50,0.08,11.51,0.0,0.705427,0.904242,0.048998,0.963158,0.84,0.957,0.899473
Unlu_CS=T,downtrend,0.95,50,0.08,34.743333,0.0,0.711405,0.721019,0.515803,1.0,0.4,0.97,0.632456
mixed_CS=T,downtrend,0.95,80,0.08,11.953333,0.0,0.638485,0.899642,0.015775,0.972632,0.98,0.973,0.976309
Unlu_CS=T,downtrend,0.95,80,0.08,52.146667,0.0,0.573333,0.577245,0.44873,1.0,0.42,0.971,0.648074
mixed_CS=T,downtrend,0.95,30,0.155,6.43,0.0,0.453967,0.939256,0.045171,0.942105,0.86,0.938,0.900117
Unlu_CS=T,downtrend,0.95,30,0.155,16.323333,0.0,0.861625,0.873251,0.337014,1.0,0.6,0.98,0.774597
mixed_CS=T,downtrend,0.95,50,0.155,9.046667,0.0,0.763747,0.929146,0.011653,0.988421,0.92,0.985,0.953597
Unlu_CS=T,downtrend,0.95,50,0.155,35.286667,0.0,0.71405,0.716529,0.506912,1.0,0.4,0.97,0.632456
mixed_CS=T,downtrend,0.95,80,0.155,12.813333,0.0,0.805702,0.900992,0.000464,1.0,0.98,0.999,0.98995
Unlu_CS=T,downtrend,0.95,80,0.155,53.363333,0.0,0.52719,0.566364,0.405909,1.0,0.44,0.972,0.663325
mixed_CS=T,downtrend,0.95,30,0.23,5.22,0.0,0.643444,0.958127,0.053576,0.937895,0.86,0.934,0.898103
Unlu_CS=T,downtrend,0.95,30,0.23,18.363333,0.0,0.856501,0.856501,0.380038,1.0,0.46,0.973,0.678233
mixed_CS=T,downtrend,0.95,50,0.23,7.313333,0.0,0.864463,0.946033,0.012266,0.98,1.0,0.981,0.98995
Unlu_CS=T,downtrend,0.95,50,0.23,33.986667,0.0,0.712369,0.727135,0.405407,1.0,0.42,0.971,0.648074
mixed_CS=T,downtrend,0.95,80,0.23,12.03,0.0,0.908843,0.908843,3e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,80,0.23,42.166667,0.0,0.65978,0.65978,0.319417,1.0,0.6,0.98,0.774597
mixed_CS=T,downtrend,0.95,30,0.305,6.093333,0.0,0.816226,0.954793,0.029007,0.978947,0.94,0.977,0.959276
Unlu_CS=T,downtrend,0.95,30,0.305,15.296667,0.0,0.881846,0.881846,0.296647,1.0,0.62,0.981,0.787401
mixed_CS=T,downtrend,0.95,50,0.305,7.4,0.0,0.873912,0.946171,0.004967,0.998947,1.0,0.999,0.999474
Unlu_CS=T,downtrend,0.95,50,0.305,22.28,0.0,0.824132,0.824132,0.233511,1.0,0.62,0.981,0.787401
mixed_CS=T,downtrend,0.95,80,0.305,12.96,0.0,0.901157,0.901157,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,80,0.305,34.513333,0.0,0.72303,0.72303,0.197215,1.0,0.6,0.98,0.774597
mixed_CS=T,downtrend,0.95,30,0.38,4.463333,0.0,0.847989,0.969091,0.034779,0.935789,0.9,0.934,0.91772
Unlu_CS=T,downtrend,0.95,30,0.38,18.003333,0.0,0.856584,0.859449,0.354906,1.0,0.52,0.976,0.72111
mixed_CS=T,downtrend,0.95,50,0.38,8.453333,0.0,0.928926,0.93832,1e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,50,0.38,27.16,0.0,0.783802,0.783802,0.325364,1.0,0.6,0.98,0.774597
mixed_CS=T,downtrend,0.95,80,0.38,10.6,0.0,0.911322,0.920551,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,80,0.38,34.976667,0.0,0.719201,0.719201,0.207402,1.0,0.6,0.98,0.774597
mixed_CS=T,downtrend,0.95,30,0.455,5.11,0.0,0.904298,0.964959,0.011799,0.983158,0.98,0.983,0.981578
Unlu_CS=T,downtrend,0.95,30,0.455,16.546667,0.0,0.871515,0.871515,0.343581,1.0,0.6,0.98,0.774597
mixed_CS=T,downtrend,0.95,50,0.455,7.823333,0.0,0.930909,0.943471,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,50,0.455,19.263333,0.0,0.849063,0.849063,0.180417,1.0,0.74,0.987,0.860233
mixed_CS=T,downtrend,0.95,80,0.455,9.826667,0.0,0.927052,0.927052,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,80,0.455,61.696667,0.0,0.453829,0.496887,0.390579,1.0,0.36,0.968,0.6
mixed_CS=T,downtrend,0.95,30,0.53,4.816667,0.0,0.896997,0.967493,0.007459,0.995789,0.98,0.995,0.987863
