Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
mixed_CS=T,stratification,0.95,30,0.005,4.51,0.0,0.034105,0.387493,0.161869,0.602105,0.44,0.594,0.51471
Unlu_CS=T,stratification,0.95,30,0.005,6.28,0.0,0.060882,0.425152,0.680076,0.550526,0.52,0.549,0.535046
mixed_CS=T,stratification,0.95,50,0.005,5.38,0.0,0.041322,0.42,0.170959,0.583158,0.46,0.577,0.517931
Unlu_CS=T,stratification,0.95,50,0.005,5.57,0.0,0.095124,0.494298,0.665439,0.527368,0.5,0.526,0.513502
mixed_CS=T,stratification,0.95,80,0.005,1.83,0.0,0.016226,0.510468,0.170337,0.523158,0.5,0.522,0.511448
Unlu_CS=T,stratification,0.95,80,0.005,16.377926,0.003333,0.123444,0.400083,0.646998,0.624211,0.36,0.611,0.474042
mixed_CS=T,stratification,0.95,30,0.08,4.77,0.0,0.034848,0.390937,0.170544,0.625263,0.5,0.619,0.559135
Unlu_CS=T,stratification,0.95,30,0.08,22.842809,0.003333,0.049311,0.174408,0.658829,0.849474,0.18,0.816,0.391031
mixed_CS=T,stratification,0.95,50,0.08,2.603333,0.0,0.008788,0.329036,0.173543,0.675789,0.36,0.66,0.493239
Unlu_CS=T,stratification,0.95,50,0.08,6.876667,0.0,0.083168,0.42843,0.660002,0.586316,0.4,0.577,0.484279
mixed_CS=T,stratification,0.95,80,0.08,2.726667,0.0,0.020358,0.415262,0.175574,0.578947,0.58,0.579,0.579473
Unlu_CS=T,stratification,0.95,80,0.08,19.707746,0.053333,0.173664,0.400882,0.674082,0.567368,0.4,0.559,0.47639
mixed_CS=T,stratification,0.95,30,0.155,3.97,0.0,0.040028,0.40741,0.172696,0.624211,0.46,0.616,0.535852
Unlu_CS=T,stratification,0.95,30,0.155,4.64,0.0,0.039862,0.402948,0.665222,0.592632,0.44,0.585,0.510645
mixed_CS=T,stratification,0.95,50,0.155,5.633333,0.0,0.023444,0.353499,0.175131,0.654737,0.38,0.641,0.498799
Unlu_CS=T,stratification,0.95,50,0.155,10.24,0.0,0.042121,0.279807,0.626314,0.772632,0.2,0.744,0.393098
mixed_CS=T,stratification,0.95,80,0.155,1.97,0.0,0.013884,0.458512,0.16946,0.554737,0.4,0.547,0.471057
Unlu_CS=T,stratification,0.95,80,0.155,32.420814,0.263333,0.041047,0.137328,0.580783,0.866316,0.1,0.828,0.294332
mixed_CS=T,stratification,0.95,30,0.23,2.366667,0.0,0.05562,0.630083,0.178792,0.374737,0.62,0.387,0.482013
Unlu_CS=T,stratification,0.95,30,0.23,12.873333,0.0,0.042011,0.24573,0.562438,0.775789,0.3,0.752,0.482428
mixed_CS=T,stratification,0.95,50,0.23,4.11,0.0,0.009091,0.256777,0.171584,0.727368,0.24,0.703,0.417814
Unlu_CS=T,stratification,0.95,50,0.23,13.786667,0.0,0.028375,0.203884,0.495724,0.829474,0.2,0.798,0.407302
mixed_CS=T,stratification,0.95,80,0.23,2.676667,0.0,0.020138,0.455978,0.17329,0.516842,0.38,0.51,0.44317
Unlu_CS=T,stratification,0.95,80,0.23,18.381271,0.003333,0.065069,0.284518,0.548982,0.734737,0.28,0.712,0.453571
mixed_CS=T,stratification,0.95,30,0.305,6.806667,0.0,0.080882,0.473085,0.176483,0.518947,0.64,0.525,0.576304
Unlu_CS=T,stratification,0.95,30,0.305,11.07,0.0,0.051074,0.273168,0.537169,0.757895,0.24,0.732,0.426491
mixed_CS=T,stratification,0.95,50,0.305,3.48,0.0,0.046006,0.467631,0.173785,0.561053,0.52,0.559,0.540136
Unlu_CS=T,stratification,0.95,50,0.305,19.02,0.0,0.035427,0.170028,0.434046,0.867368,0.1,0.829,0.294511
mixed_CS=T,stratification,0.95,80,0.305,2.623333,0.0,0.024187,0.425152,0.159761,0.561053,0.48,0.557,0.518946
Unlu_CS=T,stratification,0.95,80,0.305,13.693333,0.0,0.035234,0.198154,0.502004,0.828421,0.24,0.799,0.445894
mixed_CS=T,stratification,0.95,30,0.38,4.26,0.0,0.036391,0.430248,0.171963,0.612632,0.36,0.6,0.469625
Unlu_CS=T,stratification,0.95,30,0.38,13.616667,0.0,0.027466,0.206143,0.448816,0.864211,0.22,0.832,0.436035
mixed_CS=T,stratification,0.95,50,0.38,15.956522,0.003333,0.026997,0.207245,0.116238,0.822105,0.16,0.789,0.36268
Unlu_CS=T,stratification,0.95,50,0.38,12.266667,0.0,0.045455,0.28405,0.533689,0.708421,0.32,0.689,0.476125
mixed_CS=T,stratification,0.95,80,0.38,5.276667,0.0,0.046033,0.499449,0.172035,0.602105,0.56,0.6,0.580671
Unlu_CS=T,stratification,0.95,80,0.38,34.78169,0.053333,0.029697,0.112011,0.304673,0.926316,0.16,0.888,0.384981
mixed_CS=T,stratification,0.95,30,0.455,5.396667,0.0,0.035152,0.372755,0.154829,0.648421,0.4,0.636,0.509282
Unlu_CS=T,stratification,0.95,30,0.455,16.956522,0.003333,0.021212,0.17022,0.398574,0.890526,0.12,0.852,0.326899
mixed_CS=T,stratification,0.95,50,0.455,30.979592,0.02,0.101598,0.411983,0.159244,0.792632,0.4,0.773,0.563074
Unlu_CS=T,stratification,0.95,50,0.455,33.98524,0.096667,0.049587,0.119449,0.339151,0.941053,0.06,0.897,0.23762
mixed_CS=T,stratification,0.95,80,0.455,5.676667,0.0,0.027658,0.492397,0.162417,0.637895,0.46,0.629,0.541693
Unlu_CS=T,stratification,0.95,80,0.455,45.512195,0.18,0.044022,0.10135,0.303312,0.938947,0.08,0.896,0.274073
mixed_CS=T,stratification,0.95,30,0.53,6.693333,0.0,0.048485,0.519669,0.166339,0.554737,0.44,0.549,0.494049
Unlu_CS=T,stratification,0.95,30,0.53,27.892617,0.006667,0.027548,0.159559,0.395135,0.863158,0.06,0.823,0.227573
mixed_CS=T,stratification,0.95,50,0.53,13.463333,0.0,0.03157,0.356612,0.120082,0.829474,0.44,0.81,0.604126
Unlu_CS=T,stratification,0.95,50,0.53,45.917603,0.11,0.026419,0.093223,0.256375,0.961053,0.1,0.918,0.310008
mixed_CS=T,stratification,0.95,80,0.53,5.723333,0.0,0.029917,0.427879,0.172585,0.682105,0.44,0.67,0.547838
Unlu_CS=T,stratification,0.95,80,0.53,50.578512,0.193333,0.012314,0.06157,0.210283,0.988421,0.08,0.943,0.2812
mixed_CS=T,stratification,0.95,30,0.605,16.59,0.0,0.037107,0.342011,0.131969,0.9,0.32,0.871,0.536656
Unlu_CS=T,stratification,0.95,30,0.605,26.756757,0.013333,0.034325,0.174435,0.263183,0.964211,0.1,0.921,0.310517
mixed_CS=T,stratification,0.95,50,0.605,8.84,0.0,0.02303,0.25405,0.113329,0.824211,0.42,0.804,0.588361
Unlu_CS=T,stratification,0.95,50,0.605,37.853933,0.11,0.115234,0.215069,0.23593,0.963158,0.08,0.919,0.277584
mixed_CS=T,stratification,0.95,80,0.605,8.506667,0.0,0.156088,0.717741,0.144114,0.677895,0.62,0.675,0.648301
Unlu_CS=T,stratification,0.95,80,0.605,56.765799,0.103333,0.016777,0.066529,0.210024,0.985263,0.06,0.939,0.243137
mixed_CS=T,stratification,0.95,30,0.68,11.28,0.0,0.03438,0.279256,0.115945,0.889474,0.38,0.864,0.581378
Unlu_CS=T,stratification,0.95,30,0.68,29.114865,0.013333,0.075868,0.326997,0.305067,0.926316,0.2,0.89,0.430422
mixed_CS=T,stratification,0.95,50,0.68,20.046667,0.0,0.086226,0.440331,0.111349,0.890526,0.42,0.867,0.611573
Unlu_CS=T,stratification,0.95,50,0.68,37.571429,0.02,0.038017,0.24292,0.218405,0.962105,0.28,0.928,0.519027
mixed_CS=T,stratification,0.95,80,0.68,13.55,0.0,0.050799,0.530303,0.096978,0.837895,0.58,0.825,0.697122
Unlu_CS=T,stratification,0.95,80,0.68,65.152174,0.233333,0.130386,0.207355,0.222841,0.976842,0.12,0.934,0.342376
