Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
mixed_CS=T,systematic,0.95,30,0.005,3.556667,0.0,0.019642,0.392287,0.168243,0.618947,0.42,0.609,0.509861
Unlu_CS=T,systematic,0.95,30,0.005,7.56,0.0,0.06124,0.368788,0.67845,0.626316,0.36,0.613,0.474841
mixed_CS=T,systematic,0.95,50,0.005,2.146667,0.0,0.041185,0.613361,0.195112,0.378947,0.62,0.391,0.484714
Unlu_CS=T,systematic,0.95,50,0.005,8.663333,0.0,0.087989,0.368788,0.681038,0.588421,0.32,0.575,0.433929
mixed_CS=T,systematic,0.95,80,0.005,3.983333,0.0,0.033719,0.508733,0.174971,0.467368,0.38,0.463,0.421426
Unlu_CS=T,systematic,0.95,80,0.005,4.76,0.0,0.056749,0.445207,0.671864,0.552632,0.58,0.554,0.56615
mixed_CS=T,systematic,0.95,30,0.08,7.743333,0.0,0.026226,0.298843,0.166104,0.667368,0.3,0.649,0.447449
Unlu_CS=T,systematic,0.95,30,0.08,6.7,0.0,0.052617,0.344986,0.672665,0.638947,0.44,0.629,0.530223
mixed_CS=T,systematic,0.95,50,0.08,2.603333,0.0,0.031543,0.529697,0.176886,0.484211,0.58,0.489,0.529945
Unlu_CS=T,systematic,0.95,50,0.08,5.646667,0.0,0.054435,0.454904,0.660837,0.562105,0.44,0.556,0.497319
mixed_CS=T,systematic,0.95,80,0.08,2.79,0.0,0.016474,0.38449,0.169738,0.624211,0.56,0.621,0.591234
Unlu_CS=T,systematic,0.95,80,0.08,6.12,0.0,0.065675,0.450386,0.673387,0.52,0.4,0.514,0.45607
mixed_CS=T,systematic,0.95,30,0.155,3.75,0.0,0.01405,0.38281,0.176296,0.605263,0.44,0.597,0.516058
Unlu_CS=T,systematic,0.95,30,0.155,10.646667,0.0,0.049697,0.362397,0.634038,0.677895,0.32,0.66,0.465753
mixed_CS=T,systematic,0.95,50,0.155,2.343333,0.0,0.009256,0.396612,0.162311,0.613684,0.56,0.611,0.586228
Unlu_CS=T,systematic,0.95,50,0.155,17.587248,0.006667,0.036446,0.192369,0.592382,0.806316,0.28,0.78,0.475151
mixed_CS=T,systematic,0.95,80,0.155,2.343333,0.0,0.013113,0.455455,0.162678,0.58,0.7,0.586,0.637181
Unlu_CS=T,systematic,0.95,80,0.155,5.81,0.0,0.052507,0.39303,0.647991,0.652632,0.24,0.632,0.395767
mixed_CS=T,systematic,0.95,30,0.23,3.256667,0.0,0.009311,0.35022,0.153644,0.656842,0.5,0.649,0.57308
Unlu_CS=T,systematic,0.95,30,0.23,9.692308,0.003333,0.094077,0.422948,0.635525,0.631579,0.32,0.616,0.449561
mixed_CS=T,systematic,0.95,50,0.23,3.066667,0.0,0.008457,0.406722,0.18219,0.633684,0.66,0.635,0.646708
Unlu_CS=T,systematic,0.95,50,0.23,5.613333,0.0,0.048485,0.444105,0.655301,0.567368,0.46,0.562,0.510871
mixed_CS=T,systematic,0.95,80,0.23,7.773333,0.0,0.008264,0.389063,0.134418,0.722105,0.78,0.725,0.750495
Unlu_CS=T,systematic,0.95,80,0.23,32.615385,0.046667,0.056088,0.169642,0.534489,0.866316,0.24,0.835,0.455978
mixed_CS=T,systematic,0.95,30,0.305,3.72,0.0,0.009394,0.344518,0.154505,0.731579,0.54,0.722,0.628532
Unlu_CS=T,systematic,0.95,30,0.305,37.191011,0.11,0.101736,0.218788,0.555076,0.911579,0.24,0.878,0.467738
mixed_CS=T,systematic,0.95,50,0.305,4.95,0.0,0.008567,0.34876,0.122701,0.767368,0.64,0.761,0.700797
Unlu_CS=T,systematic,0.95,50,0.305,50.618605,0.283333,0.053223,0.125152,0.527627,0.941053,0.1,0.899,0.306766
mixed_CS=T,systematic,0.95,80,0.305,10.14,0.0,0.00832,0.402259,0.117388,0.827368,0.74,0.823,0.782466
Unlu_CS=T,systematic,0.95,80,0.305,56.64375,0.466667,0.031763,0.107658,0.410353,0.971579,0.12,0.929,0.341452
mixed_CS=T,systematic,0.95,30,0.38,5.323333,0.0,0.008264,0.360386,0.110512,0.796842,0.54,0.784,0.655969
Unlu_CS=T,systematic,0.95,30,0.38,34.950704,0.053333,0.054298,0.182837,0.550368,0.914737,0.18,0.878,0.405774
mixed_CS=T,systematic,0.95,50,0.38,6.8,0.0,0.008292,0.419725,0.112694,0.811579,0.8,0.811,0.805769
Unlu_CS=T,systematic,0.95,50,0.38,46.520325,0.18,0.09292,0.200331,0.418587,0.926316,0.24,0.892,0.471504
mixed_CS=T,systematic,0.95,80,0.38,11.51,0.0,0.008264,0.424077,0.091368,0.852632,0.86,0.853,0.856308
Unlu_CS=T,systematic,0.95,80,0.38,55.146789,0.273333,0.030937,0.108375,0.36985,0.975789,0.1,0.932,0.312376
mixed_CS=T,systematic,0.95,30,0.455,5.11,0.0,0.008264,0.423912,0.120017,0.772632,0.74,0.771,0.75614
Unlu_CS=T,systematic,0.95,30,0.455,33.605536,0.036667,0.104408,0.30562,0.409044,0.915789,0.22,0.881,0.448858
mixed_CS=T,systematic,0.95,50,0.455,8.436667,0.0,0.008264,0.411818,0.088627,0.848421,0.82,0.847,0.834089
Unlu_CS=T,systematic,0.95,50,0.455,36.271429,0.066667,0.046612,0.251405,0.377648,0.924211,0.28,0.892,0.508703
mixed_CS=T,systematic,0.95,80,0.455,8.946667,0.0,0.008264,0.432507,0.078944,0.864211,0.88,0.865,0.87207
Unlu_CS=T,systematic,0.95,80,0.455,53.931973,0.02,0.167548,0.482424,0.137631,0.990526,0.28,0.955,0.526638
mixed_CS=T,systematic,0.95,30,0.53,5.273333,0.0,0.009201,0.437466,0.106093,0.829474,0.72,0.824,0.772801
Unlu_CS=T,systematic,0.95,30,0.53,28.573826,0.006667,0.092948,0.35854,0.31172,0.935789,0.24,0.901,0.473909
mixed_CS=T,systematic,0.95,50,0.53,7.59,0.0,0.008292,0.45157,0.084556,0.889474,0.9,0.89,0.894721
Unlu_CS=T,systematic,0.95,50,0.53,49.421875,0.146667,0.084656,0.240165,0.204242,0.975789,0.18,0.936,0.419097
mixed_CS=T,systematic,0.95,80,0.53,12.936667,0.0,0.008264,0.413884,0.046381,0.957895,0.8,0.95,0.875395
Unlu_CS=T,systematic,0.95,80,0.53,53.944223,0.163333,0.124353,0.325592,0.185041,0.975789,0.28,0.941,0.522705
mixed_CS=T,systematic,0.95,30,0.605,8.133333,0.0,0.008264,0.439835,0.088611,0.861053,0.7,0.853,0.776361
Unlu_CS=T,systematic,0.95,30,0.605,25.758389,0.006667,0.135207,0.466061,0.331745,0.931579,0.28,0.899,0.510727
mixed_CS=T,systematic,0.95,50,0.605,11.18,0.0,0.008264,0.425014,0.053071,0.937895,0.8,0.931,0.866208
Unlu_CS=T,systematic,0.95,50,0.605,41.672355,0.023333,0.123223,0.431157,0.19604,0.98,0.24,0.943,0.484974
mixed_CS=T,systematic,0.95,80,0.605,13.936667,0.0,0.008264,0.436832,0.055002,0.942105,0.88,0.939,0.910523
Unlu_CS=T,systematic,0.95,80,0.605,42.763333,0.0,0.127521,0.619118,0.123239,0.993684,0.54,0.971,0.732523
mixed_CS=T,systematic,0.95,30,0.68,5.543333,0.0,0.008264,0.449008,0.091814,0.851579,0.8,0.849,0.825387
Unlu_CS=T,systematic,0.95,30,0.68,22.196667,0.0,0.169587,0.58427,0.199991,0.961053,0.36,0.931,0.5882
mixed_CS=T,systematic,0.95,50,0.68,10.033333,0.0,0.008264,0.439669,0.038251,0.953684,0.9,0.951,0.926453
Unlu_CS=T,systematic,0.95,50,0.68,28.246667,0.0,0.27011,0.692948,0.112778,0.990526,0.5,0.966,0.703749
mixed_CS=T,systematic,0.95,80,0.68,11.686667,0.0,0.008264,0.446584,0.036674,0.96,0.9,0.957,0.929516
Unlu_CS=T,systematic,0.95,80,0.68,36.926667,0.0,0.255262,0.683967,0.114446,0.998947,0.54,0.976,0.73446
mixed_CS=T,systematic,0.95,30,0.755,6.423333,0.0,0.008264,0.442507,0.044674,0.936842,0.82,0.931,0.876476
Unlu_CS=T,systematic,0.95,30,0.755,23.772575,0.003333,0.10708,0.502094,0.180727,0.978947,0.34,0.947,0.576925
mixed_CS=T,systematic,0.95,50,0.755,6.256667,0.0,0.008264,0.466474,0.053724,0.903158,0.96,0.906,0.931145
Unlu_CS=T,systematic,0.95,50,0.755,29.648829,0.003333,0.256364,0.666804,0.108726,0.993684,0.44,0.966,0.661227
mixed_CS=T,systematic,0.95,80,0.755,10.613333,0.0,0.008264,0.456419,0.034692,0.955789,0.92,0.954,0.937724
Unlu_CS=T,systematic,0.95,80,0.755,43.07,0.0,0.160854,0.626253,0.135495,1.0,0.5,0.975,0.707107
mixed_CS=T,systematic,0.95,30,0.83,5.64,0.0,0.008264,0.472645,0.072985,0.897895,0.9,0.898,0.898947
Unlu_CS=T,systematic,0.95,30,0.83,21.693333,0.0,0.150909,0.599284,0.176,0.978947,0.2,0.94,0.442481
mixed_CS=T,systematic,0.95,50,0.83,7.916667,0.0,0.008264,0.466556,0.043705,0.926316,0.96,0.928,0.943008
Unlu_CS=T,systematic,0.95,50,0.83,25.66,0.0,0.360441,0.782314,0.088734,0.998947,0.56,0.977,0.747938
mixed_CS=T,systematic,0.95,80,0.83,11.366667,0.0,0.008264,0.452865,0.018082,0.98,0.98,0.98,0.98
Unlu_CS=T,systematic,0.95,80,0.83,41.973244,0.003333,0.152837,0.599008,0.09141,0.997895,0.58,0.977,0.760775
mixed_CS=T,systematic,0.95,30,0.905,6.363333,0.0,0.008264,0.464408,0.044191,0.944211,0.94,0.944,0.942103
Unlu_CS=T,systematic,0.95,30,0.905,19.193333,0.0,0.549504,0.802176,0.111035,0.996842,0.48,0.971,0.691725
mixed_CS=T,systematic,0.95,50,0.905,7.573333,0.0,0.008264,0.467521,0.025804,0.974737,0.94,0.973,0.957211
Unlu_CS=T,systematic,0.95,50,0.905,29.72,0.0,0.169063,0.674022,0.137726,0.998947,0.46,0.972,0.677876
mixed_CS=T,systematic,0.95,80,0.905,14.82,0.0,0.008264,0.440551,0.014026,0.990526,0.92,0.987,0.954612
Unlu_CS=T,systematic,0.95,80,0.905,40.53,0.0,0.132039,0.618953,0.10051,0.995789,0.48,0.97,0.69136
mixed_CS=T,systematic,0.95,30,0.98,5.943333,0.0,0.008264,0.476061,0.041012,0.945263,0.94,0.945,0.942628
Unlu_CS=T,systematic,0.95,30,0.98,15.013333,0.0,0.308237,0.811598,0.103063,0.996842,0.56,0.975,0.747149
mixed_CS=T,systematic,0.95,50,0.98,8.526667,0.0,0.008485,0.492562,0.017656,0.978947,0.94,0.977,0.959276
Unlu_CS=T,systematic,0.95,50,0.98,30.546667,0.0,0.156198,0.656391,0.125291,1.0,0.4,0.97,0.632456
mixed_CS=T,systematic,0.95,80,0.98,10.196667,0.0,0.008264,0.460523,0.014538,0.987368,0.98,0.987,0.983677
Unlu_CS=T,systematic,0.95,80,0.98,39.326667,0.0,0.095041,0.641543,0.12032,1.0,0.46,0.973,0.678233
mixed_CS=T,systematic,0.95,30,1.055,5.756667,0.0,0.008264,0.586006,0.040374,0.953684,0.88,0.95,0.916102
Unlu_CS=T,systematic,0.95,30,1.055,13.296667,0.0,0.465234,0.876722,0.07406,0.998947,0.68,0.983,0.824187
mixed_CS=T,systematic,0.95,50,1.055,6.76,0.0,0.008264,0.810468,0.017375,0.990526,1.0,0.991,0.995252
Unlu_CS=T,systematic,0.95,50,1.055,26.04,0.0,0.248017,0.750634,0.107547,0.997895,0.52,0.974,0.720351
mixed_CS=T,systematic,0.95,80,1.055,10.073333,0.0,0.008264,0.460579,0.005998,0.994737,0.94,0.992,0.966981
Unlu_CS=T,systematic,0.95,80,1.055,42.356667,0.0,0.170083,0.630689,0.094113,1.0,0.48,0.974,0.69282
mixed_CS=T,systematic,0.95,30,1.13,5.74,0.0,0.008264,0.489697,0.034076,0.956842,0.96,0.957,0.95842
Unlu_CS=T,systematic,0.95,30,1.13,14.633333,0.0,0.373085,0.833554,0.11691,0.995789,0.54,0.973,0.733298
mixed_CS=T,systematic,0.95,50,1.13,6.74,0.0,0.00832,0.528981,0.009438,0.991579,0.98,0.991,0.985772
Unlu_CS=T,systematic,0.95,50,1.13,24.66,0.0,0.174738,0.767658,0.094849,0.998947,0.58,0.978,0.761176
mixed_CS=T,systematic,0.95,80,1.13,10.033333,0.0,0.008264,0.460386,0.002267,0.997895,0.98,0.997,0.988907
Unlu_CS=T,systematic,0.95,80,1.13,43.606667,0.0,0.133802,0.624132,0.114399,1.0,0.46,0.973,0.678233
mixed_CS=T,systematic,0.95,30,1.205,4.216667,0.0,0.008264,0.485041,0.037032,0.942105,0.98,0.944,0.960866
Unlu_CS=T,systematic,0.95,30,1.205,13.343333,0.0,0.299917,0.854793,0.093437,0.998947,0.52,0.975,0.720731
mixed_CS=T,systematic,0.95,50,1.205,8.213333,0.0,0.008264,0.479063,0.008266,0.994737,0.94,0.992,0.966981
Unlu_CS=T,systematic,0.95,50,1.205,22.193333,0.0,0.295758,0.80686,0.101961,0.997895,0.64,0.98,0.799157
mixed_CS=T,systematic,0.95,80,1.205,7.966667,0.0,0.008264,0.758623,0.007352,0.988421,1.0,0.989,0.994194
Unlu_CS=T,systematic,0.95,80,1.205,40.143333,0.0,0.067741,0.653306,0.139767,1.0,0.48,0.974,0.69282
mixed_CS=T,systematic,0.95,30,1.28,6.046667,0.0,0.008264,0.611791,0.017011,0.989474,0.9,0.985,0.943677
Unlu_CS=T,systematic,0.95,30,1.28,16.366667,0.0,0.417906,0.849063,0.092602,0.998947,0.6,0.979,0.774189
mixed_CS=T,systematic,0.95,50,1.28,7.98,0.0,0.00832,0.469725,0.001238,0.998947,0.98,0.998,0.989428
Unlu_CS=T,systematic,0.95,50,1.28,26.44,0.0,0.168705,0.763168,0.149362,1.0,0.46,0.973,0.678233
mixed_CS=T,systematic,0.95,80,1.28,8.596667,0.0,0.008264,0.468182,0.000899,1.0,1.0,1.0,1.0
Unlu_CS=T,systematic,0.95,80,1.28,29.45,0.0,0.108678,0.734656,0.094372,1.0,0.6,0.98,0.774597
mixed_CS=T,systematic,0.95,30,1.355,4.946667,0.0,0.008264,0.792562,0.013478,0.988421,0.96,0.987,0.974107
Unlu_CS=T,systematic,0.95,30,1.355,12.6,0.0,0.434325,0.888072,0.0938,0.997895,0.6,0.978,0.773781
mixed_CS=T,systematic,0.95,50,1.355,7.813333,0.0,0.00843,0.574628,0.006883,0.998947,0.94,0.996,0.969026
Unlu_CS=T,systematic,0.95,50,1.355,20.053333,0.0,0.325179,0.832066,0.096495,1.0,0.56,0.978,0.748331
mixed_CS=T,systematic,0.95,80,1.355,9.553333,0.0,0.008264,0.464353,0.0003,1.0,1.0,1.0,1.0
Unlu_CS=T,systematic,0.95,80,1.355,30.71,0.0,0.107245,0.733691,0.085825,1.0,0.68,0.984,0.824621
mixed_CS=T,systematic,0.95,30,1.43,5.89,0.0,0.00854,0.491791,0.013717,0.987368,0.98,0.987,0.983677
Unlu_CS=T,systematic,0.95,30,1.43,13.633333,0.0,0.538898,0.883664,0.095277,1.0,0.58,0.979,0.761577
mixed_CS=T,systematic,0.95,50,1.43,6.066667,0.0,0.008567,0.481598,0.00247,0.997895,1.0,0.998,0.998947
Unlu_CS=T,systematic,0.95,50,1.43,24.96,0.0,0.293306,0.790716,0.108485,1.0,0.54,0.977,0.734847
mixed_CS=T,systematic,0.95,80,1.43,6.946667,0.0,0.008264,0.475152,0.001354,0.998947,1.0,0.999,0.999474
Unlu_CS=T,systematic,0.95,80,1.43,40.96,0.0,0.034931,0.639614,0.153,1.0,0.46,0.973,0.678233
mixed_CS=T,systematic,0.95,30,1.505,4.15,0.0,0.008292,0.486171,0.010826,0.988421,0.98,0.988,0.984201
Unlu_CS=T,systematic,0.95,30,1.505,14.32,0.0,0.472865,0.877631,0.122029,1.0,0.56,0.978,0.748331
mixed_CS=T,systematic,0.95,50,1.505,7.486667,0.0,0.008264,0.899118,0.002149,0.998947,1.0,0.999,0.999474
Unlu_CS=T,systematic,0.95,50,1.505,25.643333,0.0,0.206033,0.783306,0.159801,1.0,0.5,0.975,0.707107
mixed_CS=T,systematic,0.95,80,1.505,10.206667,0.0,0.008264,0.461901,6.8e-05,1.0,1.0,1.0,1.0
Unlu_CS=T,systematic,0.95,80,1.505,33.543333,0.0,0.062231,0.698017,0.154002,1.0,0.56,0.978,0.748331
mixed_CS=T,systematic,0.95,30,1.58,5.473333,0.0,0.358154,0.950028,0.019299,0.989474,0.98,0.989,0.984725
Unlu_CS=T,systematic,0.95,30,1.58,11.833333,0.0,0.524187,0.902314,0.059653,1.0,0.7,0.985,0.83666
mixed_CS=T,systematic,0.95,50,1.58,7.523333,0.0,0.012314,0.506832,0.000209,1.0,1.0,1.0,1.0
Unlu_CS=T,systematic,0.95,50,1.58,23.62,0.0,0.253609,0.802948,0.149681,1.0,0.6,0.98,0.774597
mixed_CS=T,systematic,0.95,80,1.58,7.913333,0.0,0.008264,0.474298,0.001025,0.998947,1.0,0.999,0.999474
Unlu_CS=T,systematic,0.95,80,1.58,33.206667,0.0,0.029587,0.703747,0.249492,1.0,0.54,0.977,0.734847
mixed_CS=T,systematic,0.95,30,1.655,5.826667,0.0,0.287741,0.943829,0.002578,0.997895,0.98,0.997,0.988907
Unlu_CS=T,systematic,0.95,30,1.655,13.176667,0.0,0.474132,0.888099,0.134721,1.0,0.52,0.976,0.72111
mixed_CS=T,systematic,0.95,50,1.655,6.24,0.0,0.072948,0.920854,0.009673,0.993684,0.98,0.993,0.986818
Unlu_CS=T,systematic,0.95,50,1.655,25.033333,0.0,0.151295,0.788375,0.182763,1.0,0.48,0.974,0.69282
mixed_CS=T,systematic,0.95,80,1.655,8.52,0.0,0.008264,0.468871,4e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,systematic,0.95,80,1.655,32.54,0.0,0.051185,0.695317,0.163434,1.0,0.58,0.979,0.761577
mixed_CS=T,systematic,0.95,30,1.73,4.77,0.0,0.009201,0.493609,0.015679,0.993684,0.98,0.993,0.986818
Unlu_CS=T,systematic,0.95,30,1.73,13.356667,0.0,0.53595,0.892948,0.104964,1.0,0.64,0.982,0.8
mixed_CS=T,systematic,0.95,50,1.73,7.116667,0.0,0.00989,0.878595,0.001043,0.998947,1.0,0.999,0.999474
Unlu_CS=T,systematic,0.95,50,1.73,26.653333,0.0,0.165234,0.776143,0.18784,1.0,0.54,0.977,0.734847
mixed_CS=T,systematic,0.95,80,1.73,10.2,0.0,0.008264,0.461047,0.003518,1.0,0.98,0.999,0.98995
Unlu_CS=T,systematic,0.95,80,1.73,58.55,0.0,0.211295,0.513196,0.271543,1.0,0.38,0.969,0.616441
mixed_CS=T,systematic,0.95,30,1.805,3.786667,0.0,0.040441,0.959835,0.014056,0.985263,0.98,0.985,0.982628
Unlu_CS=T,systematic,0.95,30,1.805,13.19,0.0,0.427025,0.892259,0.119537,1.0,0.66,0.983,0.812404
mixed_CS=T,systematic,0.95,50,1.805,5.65,0.0,0.053526,0.810992,0.001787,1.0,0.98,0.999,0.98995
Unlu_CS=T,systematic,0.95,50,1.805,31.6,0.0,0.293554,0.739669,0.342289,1.0,0.4,0.97,0.632456
mixed_CS=T,systematic,0.95,80,1.805,10.706667,0.0,0.008264,0.459669,3e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,systematic,0.95,80,1.805,20.1,0.0,0.175262,0.821102,0.155727,1.0,0.76,0.988,0.87178
mixed_CS=T,systematic,0.9,30,0.005,2.956667,0.0,0.028953,0.441322,0.178636,0.575556,0.46,0.564,0.514544
Unlu_CS=T,systematic,0.9,30,0.005,3.63,0.0,0.063857,0.522948,0.689387,0.463333,0.46,0.463,0.461664
mixed_CS=T,systematic,0.9,50,0.005,2.163333,0.0,0.021928,0.530165,0.175607,0.477778,0.57,0.487,0.521856
Unlu_CS=T,systematic,0.9,50,0.005,8.776667,0.0,0.107383,0.510826,0.67818,0.503333,0.56,0.509,0.530911
mixed_CS=T,systematic,0.9,80,0.005,3.41,0.0,0.058981,0.538595,0.17395,0.457778,0.6,0.472,0.524087
Unlu_CS=T,systematic,0.9,80,0.005,13.846667,0.0,0.102865,0.370165,0.672702,0.622222,0.41,0.601,0.505085
mixed_CS=T,systematic,0.9,30,0.08,4.213333,0.0,0.040358,0.448017,0.181594,0.563333,0.4,0.547,0.474693
Unlu_CS=T,systematic,0.9,30,0.08,13.352349,0.006667,0.071267,0.285455,0.680647,0.722222,0.28,0.678,0.449691
mixed_CS=T,systematic,0.9,50,0.08,1.7,0.0,0.010854,0.498099,0.181527,0.496667,0.57,0.504,0.532071
Unlu_CS=T,systematic,0.9,50,0.08,5.256667,0.0,0.051185,0.414408,0.677206,0.587778,0.42,0.571,0.496857
mixed_CS=T,systematic,0.9,80,0.08,3.106667,0.0,0.009642,0.338898,0.156661,0.666667,0.38,0.638,0.503322
Unlu_CS=T,systematic,0.9,80,0.08,9.053333,0.0,0.118264,0.449587,0.686336,0.535556,0.44,0.526,0.485432
mixed_CS=T,systematic,0.9,30,0.155,3.103333,0.0,0.011295,0.397328,0.168839,0.595556,0.55,0.591,0.572325
Unlu_CS=T,systematic,0.9,30,0.155,6.256667,0.0,0.019807,0.272865,0.650304,0.715556,0.31,0.675,0.47098
mixed_CS=T,systematic,0.9,50,0.155,3.403333,0.0,0.009945,0.344656,0.160348,0.647778,0.43,0.626,0.527773
Unlu_CS=T,systematic,0.9,50,0.155,13.715719,0.003333,0.045096,0.260496,0.622888,0.738889,0.21,0.686,0.393912
mixed_CS=T,systematic,0.9,80,0.155,3.106667,0.0,0.009008,0.400579,0.160358,0.598889,0.71,0.61,0.652082
Unlu_CS=T,systematic,0.9,80,0.155,13.883333,0.0,0.069862,0.330138,0.680372,0.674444,0.32,0.639,0.464567
mixed_CS=T,systematic,0.9,30,0.23,2.286667,0.0,0.008567,0.410606,0.162805,0.63,0.69,0.636,0.659318
Unlu_CS=T,systematic,0.9,30,0.23,30.922807,0.05,0.024022,0.124325,0.602325,0.873333,0.14,0.8,0.349667
