Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
mixed_CS=T,upshift,0.95,30,0.005,4.436667,0.0,0.034518,0.438981,0.166203,0.571579,0.42,0.564,0.489962
Unlu_CS=T,upshift,0.95,30,0.005,24.618243,0.013333,0.069449,0.229449,0.64385,0.762105,0.28,0.738,0.461941
mixed_CS=T,upshift,0.95,50,0.005,2.856667,0.0,0.040496,0.532011,0.175109,0.493684,0.68,0.503,0.579401
Unlu_CS=T,upshift,0.95,50,0.005,15.343333,0.0,0.042562,0.207713,0.659843,0.773684,0.26,0.748,0.448506
mixed_CS=T,upshift,0.95,80,0.005,3.93,0.0,0.046474,0.552617,0.172085,0.44,0.56,0.446,0.496387
Unlu_CS=T,upshift,0.95,80,0.005,5.843333,0.0,0.072948,0.421956,0.660012,0.536842,0.56,0.538,0.548299
mixed_CS=T,upshift,0.95,30,0.08,5.686667,0.0,0.040028,0.433416,0.146995,0.626316,0.38,0.614,0.487852
Unlu_CS=T,upshift,0.95,30,0.08,10.473333,0.0,0.171791,0.578623,0.661825,0.546316,0.66,0.552,0.600474
mixed_CS=T,upshift,0.95,50,0.08,18.602007,0.003333,0.154766,0.420854,0.152102,0.716842,0.38,0.7,0.52192
Unlu_CS=T,upshift,0.95,50,0.08,14.469595,0.013333,0.212039,0.577796,0.637648,0.576842,0.58,0.577,0.578419
mixed_CS=T,upshift,0.95,80,0.08,15.09,0.0,0.100579,0.510331,0.164446,0.621053,0.54,0.617,0.57911
Unlu_CS=T,upshift,0.95,80,0.08,25.642361,0.04,0.12281,0.43584,0.598306,0.697895,0.48,0.687,0.578783
mixed_CS=T,upshift,0.95,30,0.155,7.526667,0.0,0.08427,0.609587,0.160994,0.611579,0.62,0.612,0.615775
Unlu_CS=T,upshift,0.95,30,0.155,12.023411,0.003333,0.146143,0.620661,0.562435,0.671579,0.52,0.664,0.590949
