Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
mixed_CS=T,uptrend,0.95,30,0.005,4.236667,0.0,0.028237,0.544793,0.163411,0.590526,0.5,0.586,0.543381
Unlu_CS=T,uptrend,0.95,30,0.005,16.953333,0.0,0.168264,0.710799,0.638082,0.665263,0.54,0.659,0.599368
mixed_CS=T,uptrend,0.95,50,0.005,6.623333,0.0,0.129697,0.806033,0.172231,0.532632,0.58,0.535,0.555811
Unlu_CS=T,uptrend,0.95,50,0.005,20.55,0.0,0.317025,0.728237,0.566188,0.673684,0.44,0.662,0.544446
mixed_CS=T,uptrend,0.95,80,0.005,18.706667,0.0,0.089587,0.647548,0.146075,0.741053,0.6,0.734,0.666807
Unlu_CS=T,uptrend,0.95,80,0.005,37.443333,0.0,0.181377,0.542672,0.344141,0.870526,0.38,0.846,0.575152
mixed_CS=T,uptrend,0.95,30,0.08,8.343333,0.0,0.465152,0.922975,0.065191,0.915789,0.78,0.909,0.845172
Unlu_CS=T,uptrend,0.95,30,0.08,21.05,0.0,0.772342,0.833333,0.175014,1.0,0.46,0.973,0.678233
mixed_CS=T,uptrend,0.95,50,0.08,9.056667,0.0,0.53438,0.920441,0.0544,0.896842,0.86,0.895,0.878228
Unlu_CS=T,uptrend,0.95,50,0.08,30.66,0.0,0.752287,0.754848,0.36701,1.0,0.52,0.976,0.72111
mixed_CS=T,uptrend,0.95,80,0.08,12.07,0.0,0.592975,0.898237,0.015966,0.975789,0.96,0.975,0.967863
Unlu_CS=T,uptrend,0.95,80,0.08,55.71,0.0,0.546116,0.547824,0.488685,1.0,0.4,0.97,0.632456
mixed_CS=T,uptrend,0.95,30,0.155,7.886667,0.0,0.689118,0.936446,0.047422,0.952632,0.88,0.949,0.915596
Unlu_CS=T,uptrend,0.95,30,0.155,16.826667,0.0,0.857355,0.869036,0.41348,1.0,0.5,0.975,0.707107
mixed_CS=T,uptrend,0.95,50,0.155,9.056667,0.0,0.801653,0.930882,0.015858,0.975789,0.94,0.974,0.957728
Unlu_CS=T,uptrend,0.95,50,0.155,23.386667,0.0,0.814986,0.814986,0.204152,1.0,0.66,0.983,0.812404
mixed_CS=T,uptrend,0.95,80,0.155,13.883333,0.0,0.866529,0.893085,0.002995,1.0,0.96,0.998,0.979796
Unlu_CS=T,uptrend,0.95,80,0.155,41.636667,0.0,0.66416,0.66416,0.282114,1.0,0.6,0.98,0.774597
mixed_CS=T,uptrend,0.95,30,0.23,5.966667,0.0,0.747052,0.954601,0.039428,0.962105,0.9,0.959,0.930535
Unlu_CS=T,uptrend,0.95,30,0.23,14.846667,0.0,0.885565,0.885565,0.331388,1.0,0.62,0.981,0.787401
mixed_CS=T,uptrend,0.95,50,0.23,8.243333,0.0,0.89281,0.939229,0.00682,0.993684,0.98,0.993,0.986818
Unlu_CS=T,uptrend,0.95,50,0.23,22.186667,0.0,0.824904,0.824904,0.285068,1.0,0.62,0.981,0.787401
mixed_CS=T,uptrend,0.95,80,0.23,11.903333,0.0,0.906915,0.909862,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,80,0.23,67.47,0.0,0.450661,0.450661,0.554014,1.0,0.2,0.96,0.447214
mixed_CS=T,uptrend,0.95,30,0.305,5.363333,0.0,0.751763,0.959862,0.023604,0.965263,0.96,0.965,0.962628
Unlu_CS=T,uptrend,0.95,30,0.305,15.62,0.0,0.876226,0.879146,0.317415,1.0,0.6,0.98,0.774597
mixed_CS=T,uptrend,0.95,50,0.305,8.093333,0.0,0.874931,0.940634,0.001724,0.998947,1.0,0.999,0.999474
Unlu_CS=T,uptrend,0.95,50,0.305,26.836667,0.0,0.77854,0.786391,0.344978,1.0,0.6,0.98,0.774597
mixed_CS=T,uptrend,0.95,80,0.305,12.48,0.0,0.874848,0.904766,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,80,0.305,24.81,0.0,0.797989,0.803168,0.177634,1.0,0.78,0.989,0.883176
mixed_CS=T,uptrend,0.95,30,0.38,4.91,0.0,0.825041,0.965482,0.013808,0.981053,0.92,0.978,0.950036
Unlu_CS=T,uptrend,0.95,30,0.38,19.873333,0.0,0.76135,0.842534,0.387599,1.0,0.42,0.971,0.648074
mixed_CS=T,uptrend,0.95,50,0.38,8.34,0.0,0.939339,0.939339,7.3e-05,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,50,0.38,36.14,0.0,0.709587,0.709587,0.441784,1.0,0.4,0.97,0.632456
