Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,CSBiLSTM - MRDS,BiLSTM - MRDS,CSBiLSTM - AUDS,BiLSTM - AUDS
upshift,0.5,30,0.005,0.0,0.0,0.0,0.0
upshift,0.5,30,0.08,0.0,0.0,0.0,0.0
upshift,0.5,30,0.155,0.0,0.0,0.0,0.0
upshift,0.5,30,0.23,0.0,0.0,0.0,0.0
upshift,0.5,30,0.305,0.0,0.0,0.0,0.0
upshift,0.5,30,0.38,0.0,0.0,0.0,0.0
upshift,0.5,30,0.455,0.0,0.0,0.0,0.0
upshift,0.5,30,0.53,0.0,0.0,0.0,0.0
upshift,0.5,30,0.605,0.0,0.0,0.0,0.0
upshift,0.5,30,0.68,0.0,0.0,0.0,0.0
upshift,0.5,30,0.755,0.0,0.0,0.0,0.0
upshift,0.5,30,0.83,0.0,0.0,0.0,0.0
upshift,0.5,30,0.905,0.0,0.0,0.0,0.0
upshift,0.5,30,0.98,0.0,0.0,0.0,0.0
upshift,0.5,30,1.055,0.0,0.0,0.0,0.0
upshift,0.5,30,1.13,0.0,0.0,0.0,0.0
upshift,0.5,30,1.205,0.0,0.0,0.0,0.0
upshift,0.5,30,1.28,0.0,0.0,0.0,0.0
upshift,0.5,30,1.355,0.0,0.0,0.0,0.0
upshift,0.5,30,1.43,0.0,0.0,0.0,0.0
upshift,0.5,30,1.505,0.0,0.0,0.0,0.0
upshift,0.5,30,1.58,0.0,0.0,0.0,0.0
upshift,0.5,30,1.655,0.0,0.0,0.0,0.0
upshift,0.5,30,1.73,0.0,0.0,0.0,0.0
upshift,0.5,30,1.805,0.0,0.0,0.0,0.0
upshift,0.5,50,0.005,0.0,0.0,0.0,0.0
upshift,0.5,50,0.08,0.0,0.0,0.33333333333333337,0.6666666666666667
upshift,0.5,50,0.155,0.0,0.33333333333333337,0.6666666666666667,0.33333333333333337
upshift,0.5,50,0.23,0.0,0.0,0.0,0.0
upshift,0.5,50,0.305,0.0,0.0,0.0,0.0
upshift,0.5,50,0.38,0.0,0.0,0.0,0.0
upshift,0.5,50,0.455,0.0,0.0,0.0,0.0
upshift,0.5,50,0.53,0.0,0.0,0.0,0.0
upshift,0.5,50,0.605,0.0,0.0,0.0,0.0
upshift,0.5,50,0.68,0.0,0.0,0.0,0.0
upshift,0.5,50,0.755,0.0,0.0,0.0,0.0
upshift,0.5,50,0.83,0.0,0.0,0.0,0.0
upshift,0.5,50,0.905,0.0,0.0,0.0,0.0
upshift,0.5,50,0.98,0.0,0.0,0.0,0.0
upshift,0.5,50,1.055,0.0,0.0,0.0,0.0
upshift,0.5,50,1.13,0.0,0.0,0.0,0.0
upshift,0.5,50,1.205,0.0,0.0,0.0,0.0
upshift,0.5,50,1.28,0.0,0.0,0.0,0.0
upshift,0.5,50,1.355,0.0,0.0,0.0,0.0
upshift,0.5,50,1.43,0.0,0.0,0.0,0.0
upshift,0.5,50,1.505,0.0,0.0,0.0,0.0
upshift,0.5,50,1.58,0.0,0.0,0.0,0.0
upshift,0.5,50,1.655,0.0,0.0,0.0,0.0
upshift,0.5,50,1.73,0.0,0.0,0.0,0.0
upshift,0.5,50,1.805,0.0,0.0,0.0,0.0
upshift,0.5,80,0.005,0.0,0.0,0.0,0.0
upshift,0.5,80,0.08,0.0,0.0,0.6666666666666667,2.666666666666667
upshift,0.5,80,0.155,1.6666666666666667,0.0,2.0,3.6666666666666665
upshift,0.5,80,0.23,0.0,0.33333333333333337,0.33333333333333337,0.0
upshift,0.5,80,0.305,0.0,0.0,1.6666666666666667,1.0
upshift,0.5,80,0.38,0.0,0.0,0.0,0.6666666666666667
upshift,0.5,80,0.455,0.0,0.0,0.0,0.0
upshift,0.5,80,0.53,0.0,0.0,0.0,0.0
upshift,0.5,80,0.605,0.0,0.0,0.0,0.0
upshift,0.5,80,0.68,0.0,0.0,0.0,0.0
upshift,0.5,80,0.755,0.0,0.0,0.0,0.0
upshift,0.5,80,0.83,0.0,0.0,0.0,0.0
upshift,0.5,80,0.905,0.0,0.0,0.0,0.0
upshift,0.5,80,0.98,0.0,0.0,0.0,0.0
upshift,0.5,80,1.055,0.0,0.0,0.0,0.0
upshift,0.5,80,1.13,0.0,0.0,0.0,0.0
upshift,0.5,80,1.205,0.0,0.0,0.0,0.0
upshift,0.5,80,1.28,0.0,0.0,0.0,0.0
upshift,0.5,80,1.355,0.0,0.0,0.0,0.0
upshift,0.5,80,1.43,0.0,0.0,0.0,0.0
upshift,0.5,80,1.505,0.0,0.0,0.0,0.0
upshift,0.5,80,1.58,0.0,0.0,0.0,0.0
upshift,0.5,80,1.655,0.0,0.0,0.0,0.0
upshift,0.5,80,1.73,0.0,0.0,0.0,0.0
upshift,0.5,80,1.805,0.0,0.0,0.0,0.0
upshift,0.75,30,0.005,0.0,0.0,0.0,0.0
upshift,0.75,30,0.08,0.0,0.0,0.0,0.0
upshift,0.75,30,0.155,0.0,0.0,0.0,0.0
upshift,0.75,30,0.23,0.0,0.0,0.0,0.33333333333333337
upshift,0.75,30,0.305,0.0,0.0,0.0,0.0
upshift,0.75,30,0.38,0.0,0.0,0.0,0.0
upshift,0.75,30,0.455,0.0,0.0,0.0,0.0
upshift,0.75,30,0.53,0.0,0.0,0.0,0.0
upshift,0.75,30,0.605,0.0,0.0,0.0,0.0
upshift,0.75,30,0.68,0.0,0.0,0.0,0.0
upshift,0.75,30,0.755,0.0,0.0,0.0,0.0
upshift,0.75,30,0.83,0.0,0.0,0.0,0.0
upshift,0.75,30,0.905,0.0,0.0,0.0,0.0
upshift,0.75,30,0.98,0.0,0.0,0.0,0.0
upshift,0.75,30,1.055,0.0,0.0,0.0,0.0
upshift,0.75,30,1.13,0.0,0.0,0.0,0.0
upshift,0.75,30,1.205,0.0,0.0,0.0,0.0
upshift,0.75,30,1.28,0.0,0.0,0.0,0.0
upshift,0.75,30,1.355,0.0,0.0,0.0,0.0
upshift,0.75,30,1.43,0.0,0.0,0.0,0.0
upshift,0.75,30,1.505,0.0,0.0,0.0,0.0
upshift,0.75,30,1.58,0.0,0.0,0.0,0.0
upshift,0.75,30,1.655,0.0,0.0,0.0,0.0
upshift,0.75,30,1.73,0.0,0.0,0.0,0.0
upshift,0.75,30,1.805,0.0,0.0,0.0,0.0
upshift,0.75,50,0.005,0.0,100.0,0.0,100.0
upshift,0.75,50,0.08,0.0,13.666666666666666,0.0,0.0
upshift,0.75,50,0.155,0.0,10.333333333333334,0.33333333333333337,8.0
upshift,0.75,50,0.23,0.0,5.0,0.6666666666666667,2.666666666666667
upshift,0.75,50,0.305,0.0,0.0,0.0,0.33333333333333337
upshift,0.75,50,0.38,0.0,0.0,0.0,0.0
upshift,0.75,50,0.455,0.0,0.0,0.0,0.0
upshift,0.75,50,0.53,0.0,0.0,0.0,0.0
upshift,0.75,50,0.605,0.0,0.0,0.0,0.0
upshift,0.75,50,0.68,0.0,0.0,0.0,0.0
upshift,0.75,50,0.755,0.0,0.0,0.0,0.0
upshift,0.75,50,0.83,0.0,0.0,0.0,0.0
upshift,0.75,50,0.905,0.0,0.0,0.0,0.0
upshift,0.75,50,0.98,0.0,0.0,0.0,0.0
upshift,0.75,50,1.055,0.0,0.0,0.0,0.0
upshift,0.75,50,1.13,0.0,0.0,0.0,0.0
upshift,0.75,50,1.205,0.0,0.0,0.0,0.0
upshift,0.75,50,1.28,0.0,0.0,0.0,0.0
upshift,0.75,50,1.355,0.0,0.0,0.0,0.0
upshift,0.75,50,1.43,0.0,0.0,0.0,0.0
upshift,0.75,50,1.505,0.0,0.0,0.0,0.0
upshift,0.75,50,1.58,0.0,0.0,0.0,0.0
upshift,0.75,50,1.655,0.0,0.0,0.0,0.0
upshift,0.75,50,1.73,0.0,0.0,0.0,0.0
upshift,0.75,50,1.805,0.0,0.0,0.0,0.0
upshift,0.75,80,0.005,0.0,0.0,0.0,0.0
upshift,0.75,80,0.08,0.0,0.0,0.0,0.0
upshift,0.75,80,0.155,0.0,0.6666666666666667,1.0,4.666666666666667
upshift,0.75,80,0.23,0.0,1.6666666666666667,3.3333333333333335,2.666666666666667
upshift,0.75,80,0.305,0.0,0.33333333333333337,0.6666666666666667,0.6666666666666667
upshift,0.75,80,0.38,0.0,0.0,0.33333333333333337,0.33333333333333337
