Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F,Detection Rates Metrics
cyclic,0.95,30,0.005,0.0,1.0,0.0,1.0,Undetected Samples Percentage
cyclic,0.95,30,0.005,0.0826170798898071,0.0,0.0357575757575757,0.0,Mean True Alert Streaks from Initial Detection
cyclic,0.95,30,0.005,0.5258402203856749,0.0,0.4358402203856749,0.0,True Alert Rate
cyclic,0.95,50,0.005,0.0,1.0,0.0,1.0,Undetected Samples Percentage
cyclic,0.95,50,0.005,0.0450688705234159,0.0,0.0582920110192837,0.0,Mean True Alert Streaks from Initial Detection
cyclic,0.95,50,0.005,0.3583195592286501,0.0,0.455426997245179,0.0,True Alert Rate
cyclic,0.95,80,0.005,0.0,1.0,0.0,1.0,Undetected Samples Percentage
cyclic,0.95,80,0.005,0.0422314049586776,0.0,0.0536914600550964,0.0,Mean True Alert Streaks from Initial Detection
cyclic,0.95,80,0.005,0.4033057851239669,0.0,0.4661432506887052,0.0,True Alert Rate
cyclic,0.95,30,0.08,0.0,1.0,0.0,1.0,Undetected Samples Percentage
cyclic,0.95,30,0.08,0.0617906336088154,0.0,0.0627272727272727,0.0,Mean True Alert Streaks from Initial Detection
cyclic,0.95,30,0.08,0.3648760330578512,0.0,0.4863636363636364,0.0,True Alert Rate
cyclic,0.95,50,0.08,0.0,1.0,0.0,1.0,Undetected Samples Percentage
cyclic,0.95,50,0.08,0.0539393939393939,0.0,0.0289807162534435,0.0,Mean True Alert Streaks from Initial Detection
cyclic,0.95,50,0.08,0.3775206611570248,0.0,0.2305234159779614,0.0,True Alert Rate
cyclic,0.95,80,0.08,0.0,1.0,0.0,1.0,Undetected Samples Percentage
cyclic,0.95,80,0.08,0.0352617079889807,0.0,0.0665564738292011,0.0,Mean True Alert Streaks from Initial Detection
cyclic,0.95,80,0.08,0.4202754820936639,0.0,0.5563911845730027,0.0,True Alert Rate
cyclic,0.95,30,0.155,0.0,1.0,0.0,1.0,Undetected Samples Percentage
cyclic,0.95,30,0.155,0.0521487603305785,0.0,0.0241322314049586,0.0,Mean True Alert Streaks from Initial Detection
cyclic,0.95,30,0.155,0.4134710743801653,0.0,0.3518181818181818,0.0,True Alert Rate
cyclic,0.95,50,0.155,0.0,1.0,0.0,0.8833333333333333,Undetected Samples Percentage
cyclic,0.95,50,0.155,0.0233333333333333,0.0,0.0203856749311294,0.0011570247933884,Mean True Alert Streaks from Initial Detection
cyclic,0.95,50,0.155,0.3509090909090909,0.0,0.2521212121212121,0.0014325068870523,True Alert Rate
cyclic,0.95,80,0.155,0.0,0.0,0.0,0.76,Undetected Samples Percentage
cyclic,0.95,80,0.155,0.0306887052341597,0.094931129476584,0.0189807162534435,0.0030578512396694,Mean True Alert Streaks from Initial Detection
cyclic,0.95,80,0.155,0.3506611570247934,0.4441873278236914,0.2980165289256198,0.0083195592286501,True Alert Rate
cyclic,0.95,30,0.23,0.0133333333333333,1.0,0.0,1.0,Undetected Samples Percentage
cyclic,0.95,30,0.23,0.0963911845730027,0.0,0.0258402203856749,0.0,Mean True Alert Streaks from Initial Detection
cyclic,0.95,30,0.23,0.3054269972451791,0.0,0.4333333333333333,0.0,True Alert Rate
cyclic,0.95,50,0.23,0.0,1.0,0.0,1.0,Undetected Samples Percentage
cyclic,0.95,50,0.23,0.0752066115702479,0.0,0.0206060606060606,0.0,Mean True Alert Streaks from Initial Detection
cyclic,0.95,50,0.23,0.341763085399449,0.0,0.3581267217630854,0.0,True Alert Rate
cyclic,0.95,80,0.23,0.0,1.0,0.0,0.6133333333333333,Undetected Samples Percentage
cyclic,0.95,80,0.23,0.0226721763085399,0.0,0.0208264462809917,0.0034435261707988,Mean True Alert Streaks from Initial Detection
cyclic,0.95,80,0.23,0.3929201101928374,0.0,0.3251239669421487,0.0051790633608815,True Alert Rate
cyclic,0.95,30,0.305,0.0,1.0,0.0,1.0,Undetected Samples Percentage
cyclic,0.95,30,0.305,0.0538842975206611,0.0,0.0202754820936639,0.0,Mean True Alert Streaks from Initial Detection
cyclic,0.95,30,0.305,0.374931129476584,0.0,0.3592561983471074,0.0,True Alert Rate
cyclic,0.95,50,0.305,0.0,0.8166666666666667,0.0,0.6433333333333333,Undetected Samples Percentage
cyclic,0.95,50,0.305,0.0853719008264462,0.0029752066115702,0.0182644628099173,0.0036088154269972,Mean True Alert Streaks from Initial Detection
cyclic,0.95,50,0.305,0.4498898071625344,0.0051515151515151,0.3147107438016528,0.0093112947658402,True Alert Rate
cyclic,0.95,80,0.305,0.0,0.7966666666666666,0.0,0.13,Undetected Samples Percentage
cyclic,0.95,80,0.305,0.0204132231404958,0.0019559228650137,0.0186225895316804,0.0116528925619834,Mean True Alert Streaks from Initial Detection
cyclic,0.95,80,0.305,0.3616528925619834,0.0024517906336088,0.3326997245179063,0.0690082644628099,True Alert Rate
cyclic,0.95,30,0.38,0.0,1.0,0.0,0.3833333333333333,Undetected Samples Percentage
cyclic,0.95,30,0.38,0.0273553719008264,0.0,0.0218732782369146,0.0077685950413223,Mean True Alert Streaks from Initial Detection
cyclic,0.95,30,0.38,0.3108815426997245,0.0,0.3366391184573002,0.0167217630853994,True Alert Rate
cyclic,0.95,50,0.38,0.0033333333333333,1.0,0.0,0.17,Undetected Samples Percentage
cyclic,0.95,50,0.38,0.091763085399449,0.0,0.0182920110192837,0.0092011019283746,Mean True Alert Streaks from Initial Detection
