Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F,Detection Rates Metrics
downtrend,0.95,30,0.005,0.0,0.11,0.0,0.1966666666666666,Undetected Samples Percentage
downtrend,0.95,30,0.005,0.0286501377410468,0.0150413223140495,0.0801377410468319,0.0123415977961432,Mean True Alert Streaks from Initial Detection
downtrend,0.95,30,0.005,0.4931404958677686,0.0410468319559228,0.7235537190082645,0.0266666666666666,True Alert Rate
downtrend,0.95,50,0.005,0.0,0.0433333333333333,0.0,0.0033333333333333,Undetected Samples Percentage
downtrend,0.95,50,0.005,0.039862258953168,0.1393388429752066,0.1936363636363636,0.0150137741046831,Mean True Alert Streaks from Initial Detection
downtrend,0.95,50,0.005,0.6571074380165289,0.2370798898071625,0.7413223140495868,0.2210192837465564,True Alert Rate
downtrend,0.95,80,0.005,0.0,0.0133333333333333,0.0,0.0133333333333333,Undetected Samples Percentage
downtrend,0.95,80,0.005,0.1798347107438016,0.1214325068870523,0.2030578512396694,0.1795867768595041,Mean True Alert Streaks from Initial Detection
downtrend,0.95,80,0.005,0.6627823691460055,0.3246280991735537,0.6279338842975206,0.3626170798898072,True Alert Rate
downtrend,0.95,30,0.08,0.0,0.0,0.0,0.0,Undetected Samples Percentage
downtrend,0.95,30,0.08,0.4790082644628099,0.7774104683195592,0.7369421487603305,0.790220385674931,Mean True Alert Streaks from Initial Detection
downtrend,0.95,30,0.08,0.9217630853994492,0.8788705234159779,0.8319008264462809,0.8258126721763085,True Alert Rate
downtrend,0.95,50,0.08,0.0,0.0,0.0,0.0,Undetected Samples Percentage
downtrend,0.95,50,0.08,0.2405785123966941,0.7577685950413223,0.7255647382920111,0.7253994490358128,Mean True Alert Streaks from Initial Detection
downtrend,0.95,50,0.08,0.9103030303030304,0.8560330578512396,0.7933884297520661,0.727741046831956,True Alert Rate
downtrend,0.95,80,0.08,0.0,0.0,0.0,0.0,Undetected Samples Percentage
downtrend,0.95,80,0.08,0.624022038567493,0.6859228650137741,0.6467217630853994,0.6341597796143251,Mean True Alert Streaks from Initial Detection
downtrend,0.95,80,0.08,0.8918457300275482,0.8749862258953168,0.6467217630853994,0.6607162534435261,True Alert Rate
downtrend,0.95,30,0.155,0.0,0.0,0.0,0.0,Undetected Samples Percentage
downtrend,0.95,30,0.155,0.5014600550964188,0.8114325068870524,0.8532231404958678,0.8405509641873278,Mean True Alert Streaks from Initial Detection
downtrend,0.95,30,0.155,0.9404407713498624,0.9211845730027548,0.8532231404958678,0.8405509641873278,True Alert Rate
downtrend,0.95,50,0.155,0.0,0.0,0.0,0.0,Undetected Samples Percentage
downtrend,0.95,50,0.155,0.7367217630853995,0.798374655647383,0.6379614325068871,0.7623415977961433,Mean True Alert Streaks from Initial Detection
downtrend,0.95,50,0.155,0.9256473829201102,0.9134710743801652,0.7111570247933884,0.7623415977961433,True Alert Rate
downtrend,0.95,80,0.155,0.0,0.0,0.0,0.0,Undetected Samples Percentage
downtrend,0.95,80,0.155,0.8549862258953169,0.8450964187327823,0.754931129476584,0.6406611570247933,Mean True Alert Streaks from Initial Detection
downtrend,0.95,80,0.155,0.9117630853994492,0.898595041322314,0.8558126721763085,0.6588429752066116,True Alert Rate
downtrend,0.95,30,0.23,0.0,0.0,0.0,0.0,Undetected Samples Percentage
downtrend,0.95,30,0.23,0.7115702479338843,0.8409917355371901,0.857741046831956,0.8867768595041322,Mean True Alert Streaks from Initial Detection
downtrend,0.95,30,0.23,0.9504958677685952,0.9327272727272728,0.857741046831956,0.8957575757575758,True Alert Rate
downtrend,0.95,50,0.23,0.0,0.0,0.0,0.0,Undetected Samples Percentage
downtrend,0.95,50,0.23,0.7391460055096418,0.8172451790633609,0.3998347107438016,0.6657300275482093,Mean True Alert Streaks from Initial Detection
downtrend,0.95,50,0.23,0.945068870523416,0.930633608815427,0.819862258953168,0.7326997245179063,True Alert Rate
downtrend,0.95,80,0.23,0.0,0.0,0.0,0.0,Undetected Samples Percentage
