Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F,Detection Rates Metrics
upshift,0.95,30,0.005,0.0,0.0733333333333333,0.0,0.04,Undetected Samples Percentage
upshift,0.95,30,0.005,0.0418732782369146,0.0131129476584022,0.0346556473829201,0.0105234159779614,Mean True Alert Streaks from Initial Detection
upshift,0.95,30,0.005,0.4261707988980716,0.036694214876033,0.3930853994490358,0.0352341597796143,True Alert Rate
upshift,0.95,50,0.005,0.0,1.0,0.0,0.4633333333333333,Undetected Samples Percentage
upshift,0.95,50,0.005,0.0142148760330578,0.0,0.0909090909090909,0.0053168044077134,Mean True Alert Streaks from Initial Detection
upshift,0.95,50,0.005,0.3341046831955923,0.0,0.4814049586776859,0.0079889807162534,True Alert Rate
upshift,0.95,80,0.005,0.0,0.28,0.0,0.1766666666666666,Undetected Samples Percentage
upshift,0.95,80,0.005,0.0182644628099173,0.0072176308539944,0.0766391184573002,0.0099173553719008,Mean True Alert Streaks from Initial Detection
upshift,0.95,80,0.005,0.3680440771349862,0.0149035812672176,0.5395041322314049,0.0210743801652892,True Alert Rate
upshift,0.95,30,0.08,0.0,0.0533333333333333,0.0,0.03,Undetected Samples Percentage
upshift,0.95,30,0.08,0.0566115702479338,0.0127548209366391,0.0693388429752066,0.0132506887052341,Mean True Alert Streaks from Initial Detection
upshift,0.95,30,0.08,0.5557575757575758,0.0415426997245179,0.5401928374655648,0.05732782369146,True Alert Rate
upshift,0.95,50,0.08,0.0,0.4,0.0,1.0,Undetected Samples Percentage
upshift,0.95,50,0.08,0.039724517906336,0.0069972451790633,0.0529201101928374,0.0,Mean True Alert Streaks from Initial Detection
upshift,0.95,50,0.08,0.5027548209366391,0.011763085399449,0.5053719008264462,0.0,True Alert Rate
upshift,0.95,80,0.08,0.0,0.3333333333333333,0.0033333333333333,0.2733333333333333,Undetected Samples Percentage
upshift,0.95,80,0.08,0.0544352617079889,0.006831955922865,0.0653719008264462,0.010495867768595,Mean True Alert Streaks from Initial Detection
upshift,0.95,80,0.08,0.5901101928374656,0.0193939393939393,0.5866391184573003,0.0423140495867768,True Alert Rate
upshift,0.95,30,0.155,0.0,0.0166666666666666,0.0,0.0433333333333333,Undetected Samples Percentage
upshift,0.95,30,0.155,0.0758677685950413,0.0159228650137741,0.0404683195592286,0.0164187327823691,Mean True Alert Streaks from Initial Detection
upshift,0.95,30,0.155,0.6477961432506887,0.074159779614325,0.5463085399449036,0.0734986225895316,True Alert Rate
upshift,0.95,50,0.155,0.0,1.0,0.0033333333333333,0.4633333333333333,Undetected Samples Percentage
upshift,0.95,50,0.155,0.0518181818181818,0.0,0.244297520661157,0.0392011019283746,Mean True Alert Streaks from Initial Detection
upshift,0.95,50,0.155,0.5386501377410469,0.0,0.5930027548209367,0.0819559228650137,True Alert Rate
upshift,0.95,80,0.155,0.0,0.1533333333333333,0.0033333333333333,0.1033333333333333,Undetected Samples Percentage
upshift,0.95,80,0.155,0.1729476584022038,0.0135537190082644,0.1023140495867768,0.0212121212121212,Mean True Alert Streaks from Initial Detection
upshift,0.95,80,0.155,0.626198347107438,0.0610468319559228,0.5404132231404959,0.1264187327823691,True Alert Rate
upshift,0.95,30,0.23,0.0,0.03,0.0,0.0466666666666666,Undetected Samples Percentage
upshift,0.95,30,0.23,0.1780440771349862,0.0161157024793388,0.0869696969696969,0.1040771349862259,Mean True Alert Streaks from Initial Detection
