Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
cyclic,0.75,50,1.43,3.0,11.0,17.0,17.0
cyclic,0.75,50,1.43,9.0,9.0,26.0,26.0
cyclic,0.75,50,1.43,26.0,26.0,34.0,34.0
cyclic,0.75,50,1.43,25.0,25.0,34.0,42.0
cyclic,0.75,50,1.43,10.0,12.0,34.0,34.0
cyclic,0.75,50,1.43,10.0,10.0,26.0,26.0
cyclic,0.75,50,1.43,10.0,10.0,18.0,25.0
cyclic,0.75,50,1.43,11.0,11.0,26.0,34.0
cyclic,0.75,50,1.43,10.0,10.0,26.0,26.0
cyclic,0.75,50,1.43,10.0,10.0,26.0,26.0
cyclic,0.75,50,1.43,18.0,19.0,33.0,33.0
cyclic,0.75,50,1.43,11.0,18.0,33.0,33.0
cyclic,0.75,50,1.43,9.0,9.0,26.0,34.0
cyclic,0.75,50,1.43,18.0,18.0,18.0,26.0
cyclic,0.75,50,1.43,9.0,9.0,26.0,26.0
cyclic,0.75,50,1.43,8.0,8.0,42.0,34.0
cyclic,0.75,50,1.43,10.0,10.0,25.0,25.0
cyclic,0.75,50,1.43,18.0,35.0,42.0,50.0
cyclic,0.75,50,1.43,9.0,9.0,26.0,34.0
cyclic,0.75,50,1.43,2.0,2.0,10.0,10.0
cyclic,0.75,50,1.43,9.0,9.0,26.0,33.0
cyclic,0.75,50,1.43,2.0,19.0,26.0,25.0
cyclic,0.75,50,1.43,10.0,10.0,34.0,33.0
cyclic,0.75,50,1.43,4.0,18.0,42.0,42.0
cyclic,0.75,50,1.43,3.0,10.0,34.0,34.0
cyclic,0.75,50,1.43,3.0,4.0,18.0,18.0
cyclic,0.75,50,1.43,18.0,18.0,41.0,34.0
cyclic,0.75,50,1.43,11.0,11.0,26.0,25.0
cyclic,0.75,50,1.43,2.0,3.0,10.0,10.0
cyclic,0.75,50,1.43,9.0,9.0,26.0,26.0
cyclic,0.75,50,1.43,2.0,18.0,18.0,26.0
cyclic,0.75,50,1.43,10.0,10.0,34.0,34.0
cyclic,0.75,50,1.43,9.0,11.0,33.0,33.0
cyclic,0.75,50,1.43,10.0,10.0,26.0,19.0
cyclic,0.75,50,1.43,10.0,17.0,34.0,34.0
cyclic,0.75,50,1.43,9.0,9.0,42.0,42.0
cyclic,0.75,50,1.43,9.0,9.0,18.0,17.0
cyclic,0.75,50,1.43,9.0,9.0,26.0,26.0
cyclic,0.75,50,1.43,9.0,9.0,18.0,18.0
cyclic,0.75,50,1.43,11.0,26.0,41.0,42.0
cyclic,0.75,50,1.43,9.0,9.0,33.0,34.0
cyclic,0.75,50,1.43,11.0,18.0,34.0,34.0
cyclic,0.75,50,1.43,10.0,19.0,34.0,34.0
cyclic,0.75,50,1.43,10.0,10.0,34.0,33.0
cyclic,0.75,50,1.43,9.0,9.0,33.0,25.0
cyclic,0.75,50,1.43,10.0,18.0,26.0,25.0
cyclic,0.75,50,1.43,10.0,18.0,33.0,33.0
cyclic,0.75,50,1.43,9.0,9.0,18.0,17.0
cyclic,0.75,50,1.43,9.0,9.0,34.0,34.0
cyclic,0.75,50,1.43,2.0,10.0,18.0,11.0
cyclic,0.75,50,1.43,10.0,10.0,34.0,34.0
cyclic,0.75,50,1.43,18.0,18.0,34.0,42.0
cyclic,0.75,50,1.43,18.0,18.0,42.0,43.0
cyclic,0.75,50,1.43,10.0,10.0,25.0,25.0
cyclic,0.75,50,1.43,10.0,10.0,26.0,26.0
cyclic,0.75,50,1.43,10.0,10.0,34.0,34.0
cyclic,0.75,50,1.43,10.0,12.0,26.0,25.0
cyclic,0.75,50,1.43,10.0,10.0,18.0,25.0
cyclic,0.75,50,1.43,10.0,10.0,26.0,26.0
cyclic,0.75,50,1.43,9.0,9.0,26.0,26.0
cyclic,0.75,50,1.43,9.0,9.0,34.0,42.0
cyclic,0.75,50,1.43,18.0,18.0,26.0,26.0
cyclic,0.75,50,1.43,5.0,5.0,49.0,49.0
cyclic,0.75,50,1.43,9.0,9.0,34.0,26.0
cyclic,0.75,50,1.43,3.0,4.0,18.0,18.0
cyclic,0.75,50,1.43,9.0,10.0,25.0,25.0
cyclic,0.75,50,1.43,9.0,10.0,26.0,25.0
cyclic,0.75,50,1.43,10.0,11.0,27.0,27.0
