Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
downshift,0.5,80,0.53,11.0,12.0,28.0,29.0
downshift,0.5,80,0.53,8.0,7.0,19.0,31.0
downshift,0.5,80,0.53,7.0,6.0,32.0,36.0
downshift,0.5,80,0.53,18.0,8.0,35.0,40.0
downshift,0.5,80,0.53,6.0,6.0,17.0,17.0
downshift,0.5,80,0.53,13.0,12.0,32.0,33.0
downshift,0.5,80,0.53,11.0,11.0,21.0,20.0
downshift,0.5,80,0.53,14.0,12.0,25.0,25.0
downshift,0.5,80,0.53,37.0,32.0,46.0,46.0
downshift,0.5,80,0.53,19.0,17.0,32.0,32.0
downshift,0.5,80,0.53,30.0,29.0,34.0,46.0
downshift,0.5,80,0.53,23.0,21.0,39.0,34.0
downshift,0.5,80,0.53,11.0,11.0,24.0,28.0
downshift,0.5,80,0.53,1.0,1.0,29.0,44.0
downshift,0.5,80,0.53,17.0,15.0,42.0,42.0
downshift,0.5,80,0.53,2.0,1.0,2.0,5.0
downshift,0.5,80,0.53,8.0,10.0,20.0,20.0
downshift,0.5,80,0.53,21.0,21.0,39.0,40.0
downshift,0.5,80,0.53,1.0,1.0,1.0,2.0
downshift,0.5,80,0.53,9.0,9.0,23.0,34.0
downshift,0.5,80,0.53,13.0,11.0,35.0,43.0
downshift,0.5,80,0.53,16.0,18.0,31.0,46.0
downshift,0.5,80,0.53,7.0,7.0,30.0,30.0
downshift,0.5,80,0.53,10.0,10.0,31.0,43.0
downshift,0.5,80,0.53,4.0,4.0,17.0,15.0
downshift,0.5,80,0.53,9.0,7.0,26.0,34.0
downshift,0.5,80,0.53,7.0,9.0,18.0,18.0
downshift,0.5,80,0.53,4.0,1.0,6.0,7.0
downshift,0.5,80,0.53,23.0,23.0,38.0,50.0
downshift,0.5,80,0.53,15.0,19.0,71.0,61.0
downshift,0.5,80,0.53,14.0,16.0,34.0,48.0
downshift,0.5,80,0.53,12.0,11.0,19.0,25.0
downshift,0.5,80,0.53,4.0,3.0,11.0,8.0
downshift,0.5,80,0.53,10.0,11.0,26.0,30.0
downshift,0.5,80,0.53,33.0,33.0,63.0,63.0
downshift,0.5,80,0.53,14.0,13.0,40.0,40.0
downshift,0.5,80,0.53,3.0,3.0,9.0,9.0
downshift,0.5,80,0.53,6.0,7.0,38.0,38.0
downshift,0.5,80,0.53,1.0,1.0,16.0,16.0
downshift,0.5,80,0.53,28.0,14.0,45.0,44.0
downshift,0.5,80,0.53,9.0,9.0,19.0,19.0
downshift,0.5,80,0.53,4.0,13.0,23.0,29.0
downshift,0.5,80,0.53,4.0,1.0,13.0,15.0
downshift,0.5,80,0.53,14.0,14.0,40.0,45.0
downshift,0.5,80,0.53,17.0,16.0,25.0,24.0
downshift,0.5,80,0.53,10.0,9.0,33.0,38.0
downshift,0.5,80,0.53,9.0,7.0,37.0,37.0
downshift,0.5,80,0.53,1.0,1.0,11.0,11.0
downshift,0.5,80,0.53,39.0,39.0,60.0,60.0
downshift,0.5,80,0.53,1.0,2.0,31.0,35.0
downshift,0.5,80,0.53,11.0,11.0,41.0,42.0
downshift,0.5,80,0.53,3.0,3.0,78.0,78.0
downshift,0.5,80,0.53,9.0,1.0,20.0,14.0
downshift,0.5,80,0.53,6.0,6.0,20.0,21.0
downshift,0.5,80,0.53,7.0,5.0,11.0,11.0
downshift,0.5,80,0.53,15.0,16.0,55.0,55.0
downshift,0.5,80,0.53,8.0,9.0,29.0,32.0
downshift,0.5,80,0.53,18.0,21.0,41.0,41.0
downshift,0.5,80,0.53,4.0,4.0,33.0,33.0
downshift,0.5,80,0.53,2.0,1.0,19.0,21.0
downshift,0.5,80,0.53,4.0,3.0,29.0,32.0
downshift,0.5,80,0.53,20.0,16.0,47.0,48.0
downshift,0.5,80,0.53,11.0,11.0,48.0,48.0
downshift,0.5,80,0.53,3.0,2.0,2.0,13.0
downshift,0.5,80,0.53,8.0,8.0,14.0,14.0
downshift,0.5,80,0.53,5.0,5.0,19.0,16.0
downshift,0.5,80,0.53,8.0,6.0,21.0,31.0
downshift,0.5,80,0.53,12.0,8.0,33.0,25.0
downshift,0.5,80,0.53,28.0,30.0,45.0,56.0
downshift,0.5,80,0.53,9.0,9.0,37.0,38.0
downshift,0.5,80,0.53,12.0,11.0,36.0,40.0
downshift,0.5,80,0.53,9.0,10.0,28.0,28.0
downshift,0.5,80,0.53,16.0,19.0,45.0,46.0
downshift,0.5,80,0.53,17.0,16.0,24.0,38.0
downshift,0.5,80,0.53,5.0,5.0,11.0,10.0
downshift,0.5,80,0.53,10.0,9.0,30.0,33.0
downshift,0.5,80,0.53,15.0,9.0,35.0,39.0
downshift,0.5,80,0.53,7.0,7.0,25.0,25.0
downshift,0.5,80,0.53,25.0,20.0,39.0,43.0
downshift,0.5,80,0.53,5.0,4.0,43.0,39.0
downshift,0.5,80,0.53,8.0,8.0,18.0,16.0
downshift,0.5,80,0.53,2.0,1.0,10.0,6.0
downshift,0.5,80,0.53,10.0,10.0,24.0,26.0
downshift,0.5,80,0.53,14.0,14.0,20.0,18.0
downshift,0.5,80,0.53,8.0,8.0,12.0,9.0
downshift,0.5,80,0.53,25.0,27.0,31.0,34.0
downshift,0.5,80,0.53,14.0,38.0,45.0,43.0
downshift,0.5,80,0.53,19.0,15.0,28.0,41.0
downshift,0.5,80,0.53,1.0,1.0,12.0,17.0
downshift,0.5,80,0.53,7.0,5.0,45.0,45.0
downshift,0.5,80,0.53,35.0,37.0,48.0,44.0
downshift,0.5,80,0.53,3.0,9.0,19.0,23.0
downshift,0.5,80,0.53,1.0,1.0,25.0,35.0
downshift,0.5,80,0.53,5.0,4.0,11.0,19.0
downshift,0.5,80,0.53,21.0,17.0,29.0,28.0
downshift,0.5,80,0.53,1.0,1.0,14.0,13.0
downshift,0.5,80,0.53,13.0,15.0,42.0,42.0
downshift,0.5,80,0.53,20.0,21.0,28.0,28.0
downshift,0.5,80,0.53,5.0,4.0,14.0,23.0
downshift,0.5,80,0.53,5.0,4.0,17.0,18.0
downshift,0.5,80,0.53,27.0,33.0,76.0,73.0
downshift,0.5,80,0.53,8.0,8.0,31.0,41.0
downshift,0.5,80,0.53,23.0,25.0,50.0,50.0
downshift,0.5,80,0.53,7.0,7.0,19.0,29.0
downshift,0.5,80,0.53,14.0,14.0,37.0,39.0
downshift,0.5,80,0.53,1.0,1.0,1.0,1.0
downshift,0.5,80,0.53,13.0,13.0,33.0,34.0
downshift,0.5,80,0.53,3.0,2.0,11.0,13.0
downshift,0.5,80,0.53,20.0,18.0,32.0,32.0
downshift,0.5,80,0.53,18.0,18.0,27.0,29.0
downshift,0.5,80,0.53,9.0,16.0,50.0,51.0
downshift,0.5,80,0.53,5.0,7.0,25.0,25.0
downshift,0.5,80,0.53,14.0,8.0,44.0,46.0
downshift,0.5,80,0.53,25.0,18.0,37.0,38.0
downshift,0.5,80,0.53,25.0,25.0,39.0,44.0
downshift,0.5,80,0.53,21.0,21.0,23.0,23.0
downshift,0.5,80,0.53,14.0,15.0,27.0,31.0
downshift,0.5,80,0.53,22.0,23.0,55.0,72.0
downshift,0.5,80,0.53,17.0,17.0,35.0,35.0
