Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
downtrend,0.5,30,0.905,6.0,5.0,24.0,22.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,4.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,22.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,4.0,3.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,4.0,4.0,23.0,22.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,6.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,6.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,4.0,3.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,7.0,6.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,24.0
downtrend,0.5,30,0.905,6.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,6.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,4.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,6.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,6.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,6.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,22.0
downtrend,0.5,30,0.905,6.0,6.0,23.0,22.0
downtrend,0.5,30,0.905,5.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,23.0,22.0
downtrend,0.5,30,0.905,5.0,4.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,7.0,4.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,4.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,24.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,6.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,4.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,22.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,24.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,4.0,3.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,4.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,23.0,22.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,22.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,22.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,7.0,6.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,6.0,24.0,23.0
downtrend,0.5,30,0.905,4.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,6.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,4.0,24.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,4.0,4.0,23.0,22.0
downtrend,0.5,30,0.905,5.0,5.0,24.0,23.0
downtrend,0.5,30,0.905,5.0,5.0,23.0,23.0
downtrend,0.5,30,0.905,5.0,4.0,23.0,23.0
downtrend,0.5,30,0.905,6.0,5.0,24.0,23.0
