Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
downtrend,0.95,30,0.005,2.0,112.0,6.0,37.0
downtrend,0.95,30,0.005,1.0,54.0,8.0,39.0
downtrend,0.95,30,0.005,3.0,62.0,1.0,7.0
downtrend,0.95,30,0.005,7.0,69.0,2.0,35.0
downtrend,0.95,30,0.005,8.0,8.0,1.0,69.0
downtrend,0.95,30,0.005,5.0,32.0,1.0,
downtrend,0.95,30,0.005,1.0,4.0,1.0,86.0
downtrend,0.95,30,0.005,1.0,,20.0,21.0
downtrend,0.95,30,0.005,3.0,103.0,2.0,
downtrend,0.95,30,0.005,1.0,11.0,8.0,110.0
downtrend,0.95,30,0.005,1.0,69.0,3.0,80.0
downtrend,0.95,30,0.005,1.0,95.0,1.0,15.0
downtrend,0.95,30,0.005,23.0,26.0,16.0,42.0
downtrend,0.95,30,0.005,11.0,61.0,6.0,25.0
downtrend,0.95,30,0.005,1.0,65.0,7.0,34.0
downtrend,0.95,30,0.005,6.0,118.0,1.0,
downtrend,0.95,30,0.005,1.0,26.0,4.0,
downtrend,0.95,30,0.005,14.0,89.0,1.0,
downtrend,0.95,30,0.005,6.0,21.0,1.0,18.0
downtrend,0.95,30,0.005,20.0,,1.0,31.0
downtrend,0.95,30,0.005,5.0,95.0,1.0,51.0
downtrend,0.95,30,0.005,1.0,62.0,1.0,28.0
downtrend,0.95,30,0.005,26.0,25.0,1.0,25.0
downtrend,0.95,30,0.005,4.0,13.0,5.0,77.0
downtrend,0.95,30,0.005,6.0,60.0,7.0,62.0
downtrend,0.95,30,0.005,14.0,48.0,1.0,1.0
downtrend,0.95,30,0.005,18.0,110.0,1.0,56.0
downtrend,0.95,30,0.005,9.0,93.0,5.0,
downtrend,0.95,30,0.005,1.0,92.0,1.0,73.0
downtrend,0.95,30,0.005,5.0,78.0,1.0,1.0
downtrend,0.95,30,0.005,9.0,11.0,19.0,51.0
downtrend,0.95,30,0.005,5.0,,6.0,27.0
downtrend,0.95,30,0.005,7.0,76.0,4.0,9.0
downtrend,0.95,30,0.005,1.0,7.0,1.0,
downtrend,0.95,30,0.005,4.0,120.0,13.0,
downtrend,0.95,30,0.005,1.0,,2.0,
downtrend,0.95,30,0.005,1.0,27.0,1.0,19.0
downtrend,0.95,30,0.005,1.0,,6.0,
downtrend,0.95,30,0.005,2.0,88.0,6.0,47.0
downtrend,0.95,30,0.005,25.0,72.0,18.0,59.0
downtrend,0.95,30,0.005,1.0,15.0,2.0,37.0
downtrend,0.95,30,0.005,18.0,,22.0,36.0
downtrend,0.95,30,0.005,15.0,27.0,31.0,26.0
downtrend,0.95,30,0.005,2.0,56.0,1.0,60.0
downtrend,0.95,30,0.005,12.0,,5.0,69.0
downtrend,0.95,30,0.005,3.0,96.0,7.0,15.0
downtrend,0.95,30,0.005,2.0,58.0,1.0,21.0
downtrend,0.95,30,0.005,1.0,44.0,1.0,56.0
downtrend,0.95,30,0.005,23.0,,2.0,86.0
