Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
stratification,0.95,30,0.155,1.0,,3.0,
stratification,0.95,30,0.155,18.0,,2.0,
stratification,0.95,30,0.155,4.0,,1.0,
stratification,0.95,30,0.155,1.0,,4.0,
stratification,0.95,30,0.155,1.0,,3.0,
stratification,0.95,30,0.155,2.0,,7.0,
stratification,0.95,30,0.155,1.0,,1.0,
stratification,0.95,30,0.155,1.0,,1.0,
stratification,0.95,30,0.155,17.0,,7.0,
stratification,0.95,30,0.155,3.0,,2.0,
stratification,0.95,30,0.155,11.0,,3.0,
stratification,0.95,30,0.155,1.0,,2.0,
stratification,0.95,30,0.155,4.0,,4.0,
stratification,0.95,30,0.155,2.0,,3.0,
stratification,0.95,30,0.155,1.0,,2.0,
stratification,0.95,30,0.155,1.0,,1.0,
stratification,0.95,30,0.155,6.0,,1.0,
stratification,0.95,30,0.155,1.0,,2.0,
stratification,0.95,30,0.155,1.0,,3.0,
stratification,0.95,30,0.155,1.0,,1.0,
stratification,0.95,30,0.155,4.0,,3.0,
stratification,0.95,30,0.155,1.0,,2.0,
stratification,0.95,30,0.155,5.0,,1.0,
stratification,0.95,30,0.155,1.0,,1.0,
stratification,0.95,30,0.155,3.0,,1.0,
stratification,0.95,30,0.155,1.0,,4.0,
stratification,0.95,30,0.155,1.0,,1.0,
stratification,0.95,30,0.155,8.0,,1.0,
stratification,0.95,30,0.155,1.0,,7.0,
stratification,0.95,30,0.155,4.0,,1.0,
stratification,0.95,30,0.155,2.0,,1.0,
stratification,0.95,30,0.155,4.0,,1.0,
stratification,0.95,30,0.155,2.0,,2.0,
stratification,0.95,30,0.155,1.0,,1.0,
stratification,0.95,30,0.155,2.0,,3.0,
stratification,0.95,30,0.155,1.0,,1.0,
stratification,0.95,30,0.155,1.0,,1.0,
stratification,0.95,30,0.155,1.0,,7.0,
stratification,0.95,30,0.155,1.0,,2.0,
stratification,0.95,30,0.155,1.0,,3.0,
stratification,0.95,30,0.155,1.0,,1.0,
stratification,0.95,30,0.155,1.0,,5.0,
stratification,0.95,30,0.155,1.0,,2.0,
stratification,0.95,30,0.155,2.0,,7.0,
stratification,0.95,30,0.155,2.0,,2.0,
stratification,0.95,30,0.155,1.0,,1.0,
stratification,0.95,30,0.155,12.0,,3.0,
stratification,0.95,30,0.155,1.0,,11.0,
stratification,0.95,30,0.155,2.0,,7.0,
