Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
stratification,0.95,30,0.005,3.0,,4.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,10.0,,12.0,
stratification,0.95,30,0.005,4.0,,1.0,
stratification,0.95,30,0.005,14.0,,1.0,
stratification,0.95,30,0.005,1.0,,10.0,
stratification,0.95,30,0.005,5.0,,4.0,
stratification,0.95,30,0.005,9.0,,1.0,
stratification,0.95,30,0.005,8.0,,1.0,
stratification,0.95,30,0.005,2.0,,1.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,4.0,,1.0,
stratification,0.95,30,0.005,7.0,,1.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,2.0,,1.0,
stratification,0.95,30,0.005,4.0,,1.0,
stratification,0.95,30,0.005,1.0,,4.0,
stratification,0.95,30,0.005,22.0,,8.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,2.0,,15.0,
stratification,0.95,30,0.005,16.0,,13.0,
stratification,0.95,30,0.005,2.0,,4.0,
stratification,0.95,30,0.005,2.0,,3.0,
stratification,0.95,30,0.005,1.0,,3.0,
stratification,0.95,30,0.005,1.0,,6.0,
stratification,0.95,30,0.005,1.0,,10.0,
stratification,0.95,30,0.005,6.0,,2.0,
stratification,0.95,30,0.005,6.0,,7.0,
stratification,0.95,30,0.005,22.0,,2.0,
stratification,0.95,30,0.005,2.0,,1.0,
stratification,0.95,30,0.005,1.0,,8.0,
stratification,0.95,30,0.005,4.0,,10.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,12.0,,4.0,
stratification,0.95,30,0.005,8.0,,4.0,
stratification,0.95,30,0.005,1.0,,5.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,3.0,,10.0,
stratification,0.95,30,0.005,14.0,,5.0,
stratification,0.95,30,0.005,6.0,,4.0,
stratification,0.95,30,0.005,12.0,,3.0,
stratification,0.95,30,0.005,6.0,,4.0,
stratification,0.95,30,0.005,9.0,,2.0,
stratification,0.95,30,0.005,1.0,,3.0,
stratification,0.95,30,0.005,4.0,,20.0,
stratification,0.95,30,0.005,2.0,,9.0,
stratification,0.95,30,0.005,3.0,,10.0,
stratification,0.95,30,0.005,3.0,,1.0,
stratification,0.95,30,0.005,2.0,,2.0,
stratification,0.95,30,0.005,1.0,,5.0,
stratification,0.95,30,0.005,7.0,,1.0,
stratification,0.95,30,0.005,1.0,,20.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,18.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,8.0,,10.0,
stratification,0.95,30,0.005,1.0,,9.0,
stratification,0.95,30,0.005,7.0,,4.0,
stratification,0.95,30,0.005,1.0,,3.0,
stratification,0.95,30,0.005,2.0,,7.0,
stratification,0.95,30,0.005,17.0,,3.0,
stratification,0.95,30,0.005,1.0,,9.0,
stratification,0.95,30,0.005,2.0,,12.0,
stratification,0.95,30,0.005,9.0,,1.0,
stratification,0.95,30,0.005,1.0,,4.0,
stratification,0.95,30,0.005,17.0,,1.0,
stratification,0.95,30,0.005,5.0,,1.0,
stratification,0.95,30,0.005,5.0,,6.0,
stratification,0.95,30,0.005,1.0,,14.0,
stratification,0.95,30,0.005,9.0,,1.0,
stratification,0.95,30,0.005,12.0,,1.0,
stratification,0.95,30,0.005,7.0,,2.0,
stratification,0.95,30,0.005,10.0,,1.0,
stratification,0.95,30,0.005,1.0,,9.0,
stratification,0.95,30,0.005,1.0,,3.0,
stratification,0.95,30,0.005,2.0,,2.0,
stratification,0.95,30,0.005,9.0,,1.0,
stratification,0.95,30,0.005,3.0,,1.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,3.0,,1.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,22.0,,1.0,
stratification,0.95,30,0.005,5.0,,1.0,
stratification,0.95,30,0.005,21.0,,1.0,
stratification,0.95,30,0.005,10.0,,1.0,
stratification,0.95,30,0.005,4.0,,3.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,1.0,,3.0,
stratification,0.95,30,0.005,7.0,,2.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,5.0,,2.0,
stratification,0.95,30,0.005,2.0,,1.0,
stratification,0.95,30,0.005,2.0,,18.0,
stratification,0.95,30,0.005,3.0,,12.0,
stratification,0.95,30,0.005,6.0,,1.0,
stratification,0.95,30,0.005,10.0,,18.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,18.0,,2.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,6.0,,2.0,
stratification,0.95,30,0.005,10.0,,2.0,
stratification,0.95,30,0.005,1.0,,7.0,
stratification,0.95,30,0.005,11.0,,2.0,
stratification,0.95,30,0.005,1.0,,6.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,8.0,
stratification,0.95,30,0.005,6.0,,3.0,
stratification,0.95,30,0.005,3.0,,1.0,
stratification,0.95,30,0.005,15.0,,1.0,
stratification,0.95,30,0.005,2.0,,7.0,
stratification,0.95,30,0.005,1.0,,32.0,
stratification,0.95,30,0.005,6.0,,1.0,
stratification,0.95,30,0.005,2.0,,17.0,
stratification,0.95,30,0.005,4.0,,1.0,
stratification,0.95,30,0.005,4.0,,4.0,
stratification,0.95,30,0.005,3.0,,15.0,
stratification,0.95,30,0.005,6.0,,2.0,
stratification,0.95,30,0.005,1.0,,4.0,
stratification,0.95,30,0.005,12.0,,5.0,
stratification,0.95,30,0.005,7.0,,6.0,
stratification,0.95,30,0.005,3.0,,1.0,
stratification,0.95,30,0.005,25.0,,4.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,5.0,
stratification,0.95,30,0.005,4.0,,1.0,
stratification,0.95,30,0.005,2.0,,1.0,
stratification,0.95,30,0.005,1.0,,5.0,
stratification,0.95,30,0.005,2.0,,3.0,
stratification,0.95,30,0.005,1.0,,14.0,
stratification,0.95,30,0.005,3.0,,1.0,
stratification,0.95,30,0.005,5.0,,1.0,
stratification,0.95,30,0.005,8.0,,9.0,
stratification,0.95,30,0.005,14.0,,1.0,
stratification,0.95,30,0.005,1.0,,4.0,
stratification,0.95,30,0.005,7.0,,1.0,
stratification,0.95,30,0.005,5.0,,7.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,2.0,,4.0,
stratification,0.95,30,0.005,4.0,,1.0,
stratification,0.95,30,0.005,8.0,,3.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,6.0,,1.0,
stratification,0.95,30,0.005,7.0,,2.0,
stratification,0.95,30,0.005,1.0,,20.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,6.0,,1.0,
stratification,0.95,30,0.005,8.0,,6.0,
stratification,0.95,30,0.005,2.0,,10.0,
stratification,0.95,30,0.005,11.0,,4.0,
stratification,0.95,30,0.005,11.0,,11.0,
stratification,0.95,30,0.005,4.0,,2.0,
stratification,0.95,30,0.005,8.0,,12.0,
stratification,0.95,30,0.005,10.0,,1.0,
stratification,0.95,30,0.005,5.0,,1.0,
stratification,0.95,30,0.005,3.0,,1.0,
stratification,0.95,30,0.005,7.0,,1.0,
stratification,0.95,30,0.005,20.0,,3.0,
stratification,0.95,30,0.005,4.0,,4.0,
stratification,0.95,30,0.005,8.0,,14.0,
stratification,0.95,30,0.005,4.0,,6.0,
stratification,0.95,30,0.005,1.0,,5.0,
stratification,0.95,30,0.005,1.0,,7.0,
stratification,0.95,30,0.005,1.0,,5.0,
stratification,0.95,30,0.005,10.0,,8.0,
stratification,0.95,30,0.005,7.0,,5.0,
stratification,0.95,30,0.005,4.0,,11.0,
stratification,0.95,30,0.005,7.0,,2.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,2.0,,12.0,
stratification,0.95,30,0.005,4.0,,1.0,
stratification,0.95,30,0.005,5.0,,4.0,
stratification,0.95,30,0.005,8.0,,1.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,5.0,,2.0,
stratification,0.95,30,0.005,1.0,,5.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,28.0,
stratification,0.95,30,0.005,7.0,,1.0,
stratification,0.95,30,0.005,2.0,,5.0,
stratification,0.95,30,0.005,14.0,,27.0,
stratification,0.95,30,0.005,8.0,,2.0,
stratification,0.95,30,0.005,5.0,,1.0,
stratification,0.95,30,0.005,3.0,,1.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,5.0,
stratification,0.95,30,0.005,1.0,,14.0,
stratification,0.95,30,0.005,4.0,,1.0,
stratification,0.95,30,0.005,2.0,,1.0,
stratification,0.95,30,0.005,5.0,,1.0,
stratification,0.95,30,0.005,1.0,,4.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,9.0,,8.0,
stratification,0.95,30,0.005,4.0,,2.0,
stratification,0.95,30,0.005,1.0,,3.0,
stratification,0.95,30,0.005,6.0,,2.0,
stratification,0.95,30,0.005,7.0,,4.0,
stratification,0.95,30,0.005,23.0,,3.0,
stratification,0.95,30,0.005,2.0,,38.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,3.0,,1.0,
stratification,0.95,30,0.005,5.0,,1.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,18.0,,2.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,3.0,,1.0,
stratification,0.95,30,0.005,3.0,,8.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,7.0,
stratification,0.95,30,0.005,1.0,,8.0,
stratification,0.95,30,0.005,8.0,,4.0,
stratification,0.95,30,0.005,1.0,,4.0,
stratification,0.95,30,0.005,4.0,,1.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,5.0,,1.0,
stratification,0.95,30,0.005,12.0,,1.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,6.0,,1.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,4.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,4.0,,2.0,
stratification,0.95,30,0.005,3.0,,4.0,
stratification,0.95,30,0.005,6.0,,2.0,
stratification,0.95,30,0.005,16.0,,1.0,
stratification,0.95,30,0.005,1.0,,17.0,
stratification,0.95,30,0.005,4.0,,1.0,
stratification,0.95,30,0.005,3.0,,4.0,
stratification,0.95,30,0.005,12.0,,1.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,1.0,,3.0,
stratification,0.95,30,0.005,1.0,,3.0,
stratification,0.95,30,0.005,1.0,,2.0,
stratification,0.95,30,0.005,6.0,,48.0,
stratification,0.95,30,0.005,2.0,,1.0,
stratification,0.95,30,0.005,2.0,,1.0,
stratification,0.95,30,0.005,4.0,,1.0,
stratification,0.95,30,0.005,1.0,,3.0,
stratification,0.95,30,0.005,6.0,,7.0,
stratification,0.95,30,0.005,1.0,,11.0,
stratification,0.95,30,0.005,1.0,,5.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,10.0,
stratification,0.95,30,0.005,3.0,,1.0,
stratification,0.95,30,0.005,3.0,,1.0,
stratification,0.95,30,0.005,1.0,,3.0,
stratification,0.95,30,0.005,1.0,,5.0,
stratification,0.95,30,0.005,5.0,,11.0,
stratification,0.95,30,0.005,12.0,,3.0,
stratification,0.95,30,0.005,1.0,,4.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,5.0,,1.0,
stratification,0.95,30,0.005,1.0,,3.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,22.0,,3.0,
stratification,0.95,30,0.005,12.0,,3.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,4.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,5.0,,3.0,
stratification,0.95,30,0.005,18.0,,13.0,
stratification,0.95,30,0.005,1.0,,3.0,
stratification,0.95,30,0.005,3.0,,7.0,
stratification,0.95,30,0.005,16.0,,1.0,
stratification,0.95,30,0.005,3.0,,1.0,
stratification,0.95,30,0.005,1.0,,4.0,
stratification,0.95,30,0.005,13.0,,1.0,
stratification,0.95,30,0.005,16.0,,1.0,
stratification,0.95,30,0.005,1.0,,4.0,
stratification,0.95,30,0.005,13.0,,1.0,
stratification,0.95,30,0.005,7.0,,2.0,
stratification,0.95,30,0.005,6.0,,3.0,
stratification,0.95,30,0.005,4.0,,2.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,8.0,
stratification,0.95,30,0.005,1.0,,4.0,
stratification,0.95,30,0.005,5.0,,1.0,
stratification,0.95,30,0.005,1.0,,5.0,
stratification,0.95,30,0.005,4.0,,1.0,
stratification,0.95,30,0.005,5.0,,4.0,
stratification,0.95,30,0.005,1.0,,4.0,
stratification,0.95,30,0.005,3.0,,5.0,
stratification,0.95,30,0.005,5.0,,5.0,
stratification,0.95,30,0.005,7.0,,5.0,
stratification,0.95,30,0.005,1.0,,3.0,
stratification,0.95,30,0.005,1.0,,16.0,
stratification,0.95,30,0.005,7.0,,1.0,
stratification,0.95,30,0.005,2.0,,1.0,
stratification,0.95,30,0.005,1.0,,1.0,
stratification,0.95,30,0.005,1.0,,5.0,
stratification,0.95,30,0.005,2.0,,1.0,
stratification,0.95,30,0.005,4.0,,2.0,
stratification,0.95,30,0.005,4.0,,1.0,
