Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
systematic,0.95,80,0.08,1.0,,3.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,2.0,,11.0,
systematic,0.95,80,0.08,4.0,,2.0,
systematic,0.95,80,0.08,1.0,,11.0,
systematic,0.95,80,0.08,1.0,,7.0,
systematic,0.95,80,0.08,1.0,,5.0,
systematic,0.95,80,0.08,2.0,,6.0,
systematic,0.95,80,0.08,1.0,,3.0,
systematic,0.95,80,0.08,2.0,,5.0,
systematic,0.95,80,0.08,9.0,,1.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,1.0,,2.0,
systematic,0.95,80,0.08,2.0,,2.0,
systematic,0.95,80,0.08,2.0,,1.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,1.0,,4.0,
systematic,0.95,80,0.08,2.0,,1.0,
systematic,0.95,80,0.08,2.0,,6.0,
systematic,0.95,80,0.08,8.0,,13.0,
systematic,0.95,80,0.08,1.0,,7.0,
systematic,0.95,80,0.08,1.0,,1.0,52.0
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,2.0,,1.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,2.0,,1.0,
systematic,0.95,80,0.08,5.0,,2.0,
systematic,0.95,80,0.08,1.0,,6.0,
systematic,0.95,80,0.08,1.0,,6.0,
systematic,0.95,80,0.08,1.0,,2.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,2.0,,1.0,
systematic,0.95,80,0.08,4.0,,1.0,
systematic,0.95,80,0.08,1.0,,14.0,
systematic,0.95,80,0.08,1.0,,11.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,1.0,,8.0,114.0
systematic,0.95,80,0.08,9.0,,1.0,
systematic,0.95,80,0.08,1.0,,4.0,89.0
systematic,0.95,80,0.08,1.0,,6.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,1.0,,5.0,
systematic,0.95,80,0.08,2.0,,13.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,2.0,,1.0,26.0
systematic,0.95,80,0.08,1.0,,5.0,
systematic,0.95,80,0.08,1.0,,5.0,
systematic,0.95,80,0.08,4.0,,1.0,
systematic,0.95,80,0.08,4.0,,2.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,1.0,,3.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,1.0,,6.0,
systematic,0.95,80,0.08,4.0,,7.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,1.0,,2.0,
systematic,0.95,80,0.08,2.0,,1.0,
systematic,0.95,80,0.08,6.0,,3.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,3.0,,1.0,
systematic,0.95,80,0.08,2.0,,2.0,
systematic,0.95,80,0.08,2.0,,1.0,
systematic,0.95,80,0.08,3.0,,1.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,2.0,,1.0,
systematic,0.95,80,0.08,1.0,,4.0,
systematic,0.95,80,0.08,1.0,,2.0,
systematic,0.95,80,0.08,2.0,,1.0,
systematic,0.95,80,0.08,2.0,,1.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,2.0,,15.0,
systematic,0.95,80,0.08,2.0,,6.0,
systematic,0.95,80,0.08,1.0,,3.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,2.0,,9.0,
systematic,0.95,80,0.08,3.0,,1.0,
systematic,0.95,80,0.08,1.0,,1.0,
systematic,0.95,80,0.08,2.0,,2.0,
systematic,0.95,80,0.08,2.0,,4.0,
systematic,0.95,80,0.08,1.0,,3.0,
systematic,0.95,80,0.08,2.0,,5.0,
systematic,0.95,80,0.08,1.0,,2.0,
systematic,0.95,80,0.08,1.0,,15.0,55.0
systematic,0.95,80,0.08,2.0,,4.0,
systematic,0.95,80,0.08,2.0,,5.0,
systematic,0.95,80,0.08,1.0,,8.0,
systematic,0.95,80,0.08,1.0,,6.0,
systematic,0.95,80,0.08,2.0,,2.0,
systematic,0.95,80,0.08,5.0,,1.0,
systematic,0.95,80,0.08,1.0,,8.0,
systematic,0.95,80,0.08,1.0,,8.0,
