Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
upshift,0.75,30,0.455,1.0,3.0,1.0,1.0
upshift,0.75,30,0.455,18.0,42.0,43.0,45.0
upshift,0.75,30,0.455,5.0,6.0,10.0,10.0
upshift,0.75,30,0.455,7.0,8.0,14.0,15.0
upshift,0.75,30,0.455,1.0,1.0,9.0,9.0
upshift,0.75,30,0.455,15.0,16.0,26.0,25.0
upshift,0.75,30,0.455,1.0,1.0,2.0,4.0
upshift,0.75,30,0.455,1.0,3.0,8.0,8.0
upshift,0.75,30,0.455,2.0,5.0,13.0,14.0
upshift,0.75,30,0.455,2.0,3.0,10.0,10.0
upshift,0.75,30,0.455,23.0,24.0,26.0,27.0
upshift,0.75,30,0.455,1.0,1.0,6.0,6.0
upshift,0.75,30,0.455,1.0,1.0,3.0,4.0
upshift,0.75,30,0.455,1.0,21.0,20.0,21.0
upshift,0.75,30,0.455,6.0,17.0,29.0,29.0
upshift,0.75,30,0.455,14.0,18.0,21.0,27.0
upshift,0.75,30,0.455,28.0,29.0,30.0,41.0
upshift,0.75,30,0.455,1.0,2.0,4.0,5.0
upshift,0.75,30,0.455,3.0,10.0,14.0,15.0
upshift,0.75,30,0.455,1.0,1.0,2.0,2.0
upshift,0.75,30,0.455,16.0,18.0,66.0,28.0
upshift,0.75,30,0.455,8.0,14.0,15.0,16.0
upshift,0.75,30,0.455,1.0,1.0,46.0,46.0
upshift,0.75,30,0.455,1.0,1.0,1.0,1.0
upshift,0.75,30,0.455,2.0,3.0,2.0,2.0
upshift,0.75,30,0.455,1.0,1.0,1.0,1.0
upshift,0.75,30,0.455,16.0,22.0,22.0,22.0
upshift,0.75,30,0.455,3.0,3.0,7.0,7.0
upshift,0.75,30,0.455,1.0,15.0,14.0,15.0
upshift,0.75,30,0.455,1.0,1.0,11.0,11.0
upshift,0.75,30,0.455,18.0,20.0,34.0,34.0
upshift,0.75,30,0.455,3.0,4.0,14.0,14.0
upshift,0.75,30,0.455,9.0,16.0,19.0,19.0
upshift,0.75,30,0.455,4.0,11.0,13.0,13.0
upshift,0.75,30,0.455,11.0,17.0,26.0,26.0
upshift,0.75,30,0.455,11.0,16.0,21.0,23.0
upshift,0.75,30,0.455,4.0,5.0,23.0,26.0
upshift,0.75,30,0.455,1.0,1.0,1.0,1.0
upshift,0.75,30,0.455,3.0,5.0,6.0,8.0
upshift,0.75,30,0.455,4.0,4.0,8.0,9.0
upshift,0.75,30,0.455,5.0,17.0,20.0,21.0
upshift,0.75,30,0.455,7.0,9.0,10.0,12.0
upshift,0.75,30,0.455,4.0,15.0,16.0,16.0
upshift,0.75,30,0.455,20.0,28.0,28.0,28.0
upshift,0.75,30,0.455,2.0,5.0,8.0,9.0
upshift,0.75,30,0.455,1.0,18.0,18.0,19.0
upshift,0.75,30,0.455,2.0,14.0,19.0,20.0
upshift,0.75,30,0.455,15.0,18.0,23.0,23.0
upshift,0.75,30,0.455,10.0,12.0,22.0,22.0
upshift,0.75,30,0.455,20.0,21.0,24.0,25.0
upshift,0.75,30,0.455,1.0,1.0,1.0,1.0
upshift,0.75,30,0.455,1.0,4.0,7.0,8.0
upshift,0.75,30,0.455,3.0,18.0,17.0,18.0
upshift,0.75,30,0.455,2.0,3.0,6.0,7.0
upshift,0.75,30,0.455,17.0,19.0,29.0,29.0
upshift,0.75,30,0.455,1.0,11.0,3.0,5.0
upshift,0.75,30,0.455,1.0,3.0,14.0,14.0
upshift,0.75,30,0.455,10.0,13.0,14.0,18.0
upshift,0.75,30,0.455,4.0,5.0,10.0,10.0
upshift,0.75,30,0.455,1.0,3.0,21.0,24.0
upshift,0.75,30,0.455,9.0,11.0,11.0,20.0
upshift,0.75,30,0.455,8.0,9.0,12.0,13.0
upshift,0.75,30,0.455,1.0,2.0,1.0,1.0
upshift,0.75,30,0.455,10.0,11.0,23.0,23.0
