,time_window,abnormality_value,method,cost_sensitivity,valid_specificity,valid_sensitivity,valid_accuracy,valid_gmean,itest_specificity,itest_sensitivity,itest_accuracy,itest_gmean,btest_specificity,btest_sensitivity,btest_accuracy,btest_gmean
0,100,0.005,MRDS,True,0.8336842060089111,0.6000000238418579,0.8220000267028809,0.7072556018829346,0.796842098236084,0.6399999856948853,0.7889999747276306,0.7141280770301819,0.8199999928474426,0.5699999928474426,0.6949999928474426,0.6836665868759155
1,100,0.005,conventional,True,0.7536842226982117,0.8600000143051147,0.7590000033378601,0.8050890564918518,0.7136842012405396,0.7200000286102295,0.7139999866485596,0.7168352007865906,0.7599999904632568,0.6639999747276306,0.7120000123977661,0.7103801369667053
2,50,0.305,MRDS,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9980000257492065,0.9919999837875366,0.9950000047683716,0.9949954748153687
3,50,0.305,conventional,True,1.0,1.0,1.0,1.0,0.9989473819732666,1.0,0.9990000128746033,0.9994735717773438,1.0,0.9879999756813049,0.9940000176429749,0.9939818978309631
4,50,0.38,MRDS,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,50,0.38,conventional,True,1.0,1.0,1.0,1.0,1.0,0.9200000166893005,0.9959999918937683,0.9591662883758545,1.0,0.9639999866485596,0.9819999933242798,0.9818350076675415
6,50,0.455,MRDS,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,50,0.455,conventional,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9879999756813049,0.9940000176429749,0.9939818978309631
8,50,0.53,MRDS,True,1.0,1.0,1.0,1.0,1.0,0.9800000190734863,0.9990000128746033,0.9899495244026184,1.0,0.9959999918937683,0.9980000257492065,0.9979979991912842
9,50,0.53,conventional,True,1.0,1.0,1.0,1.0,1.0,0.9399999976158142,0.996999979019165,0.9695359468460083,1.0,0.9520000219345093,0.9760000109672546,0.9757049083709717
10,50,0.755,MRDS,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,50,0.755,conventional,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,50,0.83,MRDS,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,50,0.83,conventional,True,1.0,1.0,1.0,1.0,1.0,0.9800000190734863,0.9990000128746033,0.9899495244026184,1.0,1.0,1.0,1.0
14,100,0.08,MRDS,True,0.9747368693351746,1.0,0.9760000109672546,0.9872876405715942,0.9673684239387512,1.0,0.968999981880188,0.9835488796234131,0.972000002861023,0.9959999918937683,0.984000027179718,0.9839268326759338
