,time_window,abnormality_value,method,cost_sensitivity,valid_specificity,valid_sensitivity,valid_accuracy,valid_gmean,itest_specificity,itest_sensitivity,itest_accuracy,itest_gmean,btest_specificity,btest_sensitivity,btest_accuracy,btest_gmean
0,50,0.38,MRDS,False,1.0,0.9800000190734863,0.9990000128746033,0.9899495244026184,1.0,1.0,1.0,1.0,0.9980000257492065,1.0,0.9990000128746033,0.9989995360374451
1,50,0.38,conventional,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9879999756813049,0.9940000176429749,0.9939818978309631
2,100,0.755,MRDS,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,100,0.755,conventional,False,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.9800000190734863,0.7745966911315918,1.0,0.6179999709129333,0.8090000152587891,0.7861297130584717
4,50,0.305,MRDS,False,1.0,0.9800000190734863,0.9990000128746033,0.9899495244026184,1.0,1.0,1.0,1.0,1.0,0.9860000014305115,0.9929999709129333,0.9929752945899963
5,50,0.305,conventional,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9900000095367432,0.9950000047683716,0.994987428188324
6,50,0.455,MRDS,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,50,0.455,conventional,False,1.0,1.0,1.0,1.0,1.0,0.8799999952316284,0.9940000176429749,0.9380831122398376,1.0,0.8420000076293945,0.9210000038146973,0.9176055788993835
8,50,0.53,MRDS,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,50,0.53,conventional,False,1.0,1.0,1.0,1.0,1.0,0.9800000190734863,0.9990000128746033,0.9899495244026184,1.0,1.0,1.0,1.0
10,50,0.755,MRDS,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,50,0.755,conventional,False,1.0,1.0,1.0,1.0,1.0,0.7799999713897705,0.9890000224113464,0.8831760883331299,1.0,0.777999997138977,0.8889999985694885,0.8820430636405945
12,50,0.83,MRDS,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,50,0.83,conventional,False,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.9800000190734863,0.7745966911315918,1.0,0.6000000238418579,0.800000011920929,0.7745966911315918
14,100,0.005,MRDS,False,1.0,0.0,0.949999988079071,0.0,1.0,0.0,0.949999988079071,0.0,1.0,0.0,0.5,0.0
15,100,0.005,conventional,False,0.9821052551269531,0.3400000035762787,0.949999988079071,0.5778544545173645,0.9831578731536865,0.18000000715255737,0.9430000185966492,0.4206761419773102,0.9819999933242798,0.21400000154972076,0.5979999899864197,0.4584190249443054
16,100,0.08,MRDS,False,1.0,0.9599999785423279,0.9980000257492065,0.9797958731651306,1.0,0.9399999976158142,0.996999979019165,0.9695359468460083,0.9980000257492065,0.9480000138282776,0.9729999899864197,0.9726787805557251
17,100,0.08,conventional,False,0.9989473819732666,1.0,0.9990000128746033,0.9994735717773438,1.0,0.800000011920929,0.9900000095367432,0.8944271802902222,1.0,0.800000011920929,0.8999999761581421,0.8944271802902222
18,100,0.155,MRDS,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,100,0.155,conventional,False,1.0,1.0,1.0,1.0,1.0,0.9399999976158142,0.996999979019165,0.9695359468460083,1.0,0.9359999895095825,0.9679999947547913,0.9674709439277649
20,100,0.305,MRDS,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,100,0.305,conventional,False,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.9800000190734863,0.7745966911315918,1.0,0.6159999966621399,0.8080000281333923,0.7848566770553589
22,100,0.38,MRDS,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,100,0.38,conventional,False,1.0,1.0,1.0,1.0,1.0,0.7200000286102295,0.9860000014305115,0.8485281467437744,1.0,0.7480000257492065,0.8740000128746033,0.8648699522018433
24,100,0.455,MRDS,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,100,0.455,conventional,False,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.9800000190734863,0.7745966911315918,1.0,0.593999981880188,0.796999990940094,0.7707139253616333
26,100,0.53,MRDS,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,100,0.53,conventional,False,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.9800000190734863,0.7745966911315918,1.0,0.621999979019165,0.8109999895095825,0.788669764995575
28,100,0.83,MRDS,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,100,0.83,conventional,False,1.0,1.0,1.0,1.0,1.0,0.6800000071525574,0.984000027179718,0.8246211409568787,1.0,0.6620000004768372,0.8309999704360962,0.8136337995529175
30,50,0.005,MRDS,False,0.9926315546035767,0.05999999865889549,0.9459999799728394,0.24404485523700714,0.9957894682884216,0.0,0.9459999799728394,0.0,0.9959999918937683,0.014000000432133675,0.5049999952316284,0.11808471381664276
